"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"652","Kansas City Royals",".317","90",".297",".158","3.1%","24.0%","7.8%","29.1%","42.7%","18.5%","0.78","29.7%","55.0%","15.3%","-6.1","-3.1%","-37.4","29%","71%","48%",2020,"85.9","34.1%"
"653","Los Angeles Angels",".335","106",".284",".182","3.7%","21.2%","10.4%","28.2%","42.4%","20.8%","0.74","31.0%","51.6%","17.4%","-0.9","-1.2%","4.4","30%","72%","41%",2020,"88.7","37.2%"
"654","Los Angeles Dodgers",".358","120",".276",".227","5.1%","20.3%","9.8%","29.3%","39.2%","24.7%","0.65","31.8%","51.5%","16.8%","5.9","0.6%","58.6","35%","78%","41%",2020,"89.6","44.3%"
"655","Miami Marlins",".320","92",".306",".141","2.8%","24.8%","8.8%","26.4%","47.7%","18.8%","0.93","27.5%","53.9%","18.6%","-2.0","-1.1%","-13.0","32%","78%","42%",2020,"86.9","34.7%"
"656","Milwaukee Brewers",".312","86",".278",".166","3.4%","26.6%","10.1%","31.4%","44.0%","17.8%","0.79","28.3%","55.6%","16.1%","-5.3","-6.3%","-42.9","28%","58%","35%",2020,"88.0","37.0%"
"657","Minnesota Twins",".324","102",".283",".186","4.2%","24.4%","8.6%","28.4%","39.2%","23.6%","0.65","31.5%","49.7%","18.8%","-0.3","0.3%","-2.7","29%","67%","43%",2020,"88.8","39.9%"
"658","New York Mets",".352","121",".320",".187","3.8%","21.9%","8.6%","28.6%","46.2%","18.5%","0.86","27.5%","54.7%","17.8%","-1.1","-0.6%","7.3","28%","67%","33%",2020,"88.2","37.4%"
"659","New York Yankees",".349","120",".280",".200","4.3%","21.7%","11.4%","29.1%","44.1%","19.9%","0.80","28.8%","54.0%","17.2%","2.0","1.8%","46.6","33%","79%","42%",2020,"88.8","39.5%"
"660","Oakland Athletics",".321","101",".271",".171","3.2%","23.8%","10.8%","28.7%","37.6%","23.5%","0.61","31.5%","51.7%","16.8%","-0.5","0.0%","1.8","31%","90%","48%",2020,"88.8","37.4%"
"661","Philadelphia Phillies",".347","111",".299",".183","3.7%","21.6%","10.3%","27.5%","41.3%","21.6%","0.73","29.1%","52.9%","18.0%","2.5","1.9%","31.2","33%","81%","45%",2020,"87.3","37.9%"
"662","Pittsburgh Pirates",".285","71",".268",".137","2.8%","24.4%","7.8%","26.7%","46.9%","19.7%","0.90","26.7%","55.9%","17.4%","-7.5","-2.6%","-69.4","29%","59%","37%",2020,"87.7","37.2%"
"663","San Diego Padres",".348","118",".291",".209","4.3%","21.5%","9.1%","29.8%","43.4%","19.0%","0.79","29.8%","53.8%","16.5%","5.3","3.0%","50.0","35%","81%","43%",2020,"88.9","42.4%"
"664","Seattle Mariners",".306","91",".281",".144","2.8%","25.0%","9.5%","26.8%","43.7%","20.7%","0.78","27.3%","54.8%","18.0%","-1.4","-1.0%","-18.8","31%","76%","50%",2020,"87.5","36.5%"
"665","San Francisco Giants",".344","115",".311",".187","3.6%","22.1%","8.6%","29.6%","40.7%","22.0%","0.69","30.6%","52.2%","17.1%","1.0","-0.4%","16.7","32%","70%","34%",2020,"88.5","39.6%"
"666","St. Louis Cardinals",".310","93",".290",".137","2.5%","23.7%","10.2%","28.6%","42.2%","21.0%","0.74","30.1%","53.8%","16.2%","-2.4","-1.8%","-14.3","31%","64%","45%",2020,"87.0","34.9%"
"667","Tampa Bay Rays",".334","111",".300",".187","3.5%","26.9%","10.8%","28.0%","43.7%","20.3%","0.78","32.1%","51.9%","16.0%","2.6","1.7%","14.9","31%","84%","51%",2020,"88.6","39.4%"
"668","Texas Rangers",".291","77",".266",".147","2.9%","25.5%","7.8%","25.3%","44.0%","20.9%","0.80","28.2%","54.7%","17.1%","-4.4","-1.7%","-55.4","29%","78%","43%",2020,"88.0","37.4%"
"669","Toronto Blue Jays",".341","110",".297",".186","3.9%","22.5%","9.0%","28.0%","43.3%","21.4%","0.78","29.8%","52.0%","18.2%","1.0","0.5%","15.2","33%","85%","35%",2020,"89.0","42.3%"
"670","Washington Nationals",".336","106",".308",".170","3.0%","20.3%","8.7%","29.3%","43.7%","19.7%","0.79","26.4%","55.1%","18.5%","-3.6","-2.7%","12.1","33%","73%","34%",2020,"87.0","35.5%"
"671","League Average",".327","100",".292",".173","3.5%","23.4%","9.2%","28.4%","42.8%","20.7%","0.76","29.5%","53.4%","17.1%","-1","-1%","-4","31%","75%","42%",2020,"88.0","37.8%"
"672","",".327","100",".292",".173","3.5%","23.4%","9.2%","28.4%","42.8%","20.7%","0.76","29.5%","53.4%","17.1%","-36.9","-24.8%","-120.1","31%","75%","42%",2020,"88.0","37.8%"
"673","Arizona Diamondbacks",".308","85",".295",".146","2.3%","23.8%","8.7%","23.6%","42.5%","25.0%","0.76","29.2%","52.3%","18.5%","-10.5","-1.1%","-68.2","30%","73%","43%",2021,"86.9","35.8%"
"674","Atlanta Braves",".330","96",".288",".191","4.0%","24.0%","9.1%","24.1%","40.1%","27.9%","0.68","29.5%","54.3%","16.2%","0.2","1.2%","51.8","33%","76%","44%",2021,"88.7","40.9%"
"675","Baltimore Orioles",".308","90",".290",".163","3.3%","24.3%","7.5%","23.9%","41.4%","25.6%","0.72","28.6%","53.1%","18.3%","-12.1","-2.6%","-94.3","28%","70%","39%",2021,"87.8","36.9%"
"676","Boston Red Sox",".337","105",".309",".188","3.6%","22.6%","8.4%","25.0%","40.5%","26.4%","0.69","28.0%","52.8%","19.2%","6.3","5.2%","61.7","34%","66%","41%",2021,"89.6","42.6%"
"677","Chicago Cubs",".320","93",".296",".171","3.5%","26.7%","8.4%","21.7%","44.2%","25.7%","0.82","29.2%","53.5%","17.3%","-4.1","-4.3%","-26.3","30%","70%","40%",2021,"87.7","39.0%"
"678","Chicago White Sox",".336","108",".310",".166","3.1%","22.8%","9.6%","24.2%","45.9%","23.5%","0.86","27.2%","54.1%","18.7%","3.9","3.3%","57.8","32%","74%","44%",2021,"88.6","39.9%"
"679","Cincinnati Reds",".334","94",".296",".182","3.6%","23.1%","9.0%","24.0%","41.8%","26.6%","0.74","30.1%","52.4%","17.5%","-4.2","-4.2%","9.4","31%","60%","35%",2021,"87.6","38.2%"
"680","Cleveland Indians",".314","94",".282",".169","3.4%","23.5%","7.7%","23.6%","43.4%","24.2%","0.78","28.4%","54.2%","17.4%","-4.2","-2.0%","-25.1","32%","87%","43%",2021,"88.2","38.9%"
"681","Colorado Rockies",".323","82",".299",".165","3.0%","22.6%","8.2%","22.7%","44.0%","25.3%","0.82","25.0%","56.0%","19.0%","-3.9","-1.2%","-35.7","32%","77%","45%",2021,"86.5","36.2%"
"682","Detroit Tigers",".311","96",".300",".158","3.0%","25.3%","8.2%","24.8%","41.5%","26.5%","0.72","29.1%","51.9%","19.0%","-7.0","-2.6%","-49.3","31%","78%","41%",2021,"87.9","38.2%"
"683","Houston Astros",".341","113",".303",".177","3.5%","19.4%","9.0%","25.2%","40.6%","26.6%","0.69","29.1%","54.2%","16.7%","4.6","4.2%","105.4","33%","77%","36%",2021,"89.1","40.9%"
"684","Kansas City Royals",".310","88",".292",".147","2.7%","21.0%","7.0%","22.9%","42.8%","26.3%","0.77","29.0%","54.7%","16.3%","-3.8","-1.7%","-71.5","31%","79%","39%",2021,"88.2","39.2%"
"685","Los Angeles Angels",".312","90",".294",".162","3.2%","23.2%","7.7%","24.3%","42.7%","24.6%","0.77","28.6%","53.0%","18.4%","-4.5","-1.1%","-34.3","32%","75%","41%",2021,"87.0","35.4%"
"686","Los Angeles Dodgers",".335","100",".284",".185","3.8%","22.6%","9.8%","22.8%","40.0%","29.8%","0.68","29.9%","53.6%","16.6%","2.3","0.7%","72.3","33%","79%","39%",2021,"88.9","40.4%"
"687","Miami Marlins",".300","78",".296",".139","2.7%","26.2%","7.6%","22.9%","45.3%","23.5%","0.85","26.6%","54.7%","18.7%","-14.7","-4.5%","-115.6","28%","79%","41%",2021,"87.3","37.2%"
"688","Milwaukee Brewers",".319","92",".283",".163","3.2%","24.0%","9.6%","23.0%","43.3%","25.8%","0.78","29.1%","53.4%","17.5%","-1.6","-0.7%","-1.1","31%","80%","42%",2021,"87.8","38.4%"
"689","Minnesota Twins",".322","102",".282",".182","3.8%","23.1%","8.6%","24.3%","42.4%","26.5%","0.74","31.5%","52.6%","15.9%","-5.0","-1.6%","-24.3","29%","78%","37%",2021,"89.5","41.6%"
"690","New York Mets",".315","94",".291",".152","3.0%","23.8%","8.5%","23.1%","43.5%","25.2%","0.79","28.1%","53.7%","18.1%","-9.6","-7.0%","-65.7","28%","68%","37%",2021,"87.4","38.0%"
"691","New York Yankees",".321","100",".285",".169","3.7%","24.5%","10.3%","23.2%","43.3%","25.5%","0.78","27.7%","53.7%","18.6%","1.1","1.4%","-40.9","28%","78%","36%",2021,"89.4","42.9%"
"692","Oakland Athletics",".320","104",".278",".168","3.3%","22.1%","8.9%","23.3%","41.0%","27.7%","0.70","29.8%","54.2%","16.1%","2.3","0.7%","10.0","31%","81%","46%",2021,"88.6","39.7%"
"693","Philadelphia Phillies",".323","95",".286",".168","3.3%","23.0%","9.3%","23.4%","43.8%","23.7%","0.82","28.0%","53.0%","19.0%","1.8","-1.0%","3.7","31%","80%","41%",2021,"87.0","37.1%"
"694","Pittsburgh Pirates",".301","80",".290",".128","2.1%","22.2%","8.8%","24.2%","44.8%","23.4%","0.84","27.2%","55.7%","17.1%","-10.1","-3.4%","-118.4","28%","67%","36%",2021,"86.6","34.4%"
"695","San Diego Padres",".320","101",".287",".159","2.9%","21.6%","9.6%","24.0%","45.0%","22.0%","0.84","27.4%","55.4%","17.2%","-4.3","-2.0%","5.1","31%","74%","41%",2021,"88.5","40.8%"
"696","Seattle Mariners",".304","93",".273",".159","3.3%","24.8%","8.9%","22.7%","41.7%","27.3%","0.72","29.1%","54.2%","16.7%","1.4","-0.1%","-43.4","31%","73%","34%",2021,"87.5","37.3%"
"697","San Francisco Giants",".339","108",".295",".191","3.9%","23.6%","9.7%","23.4%","39.5%","28.7%","0.67","30.2%","53.1%","16.7%","7.8","6.5%","64.0","31%","83%","38%",2021,"87.8","38.9%"
"698","St. Louis Cardinals",".322","99",".287",".168","3.3%","22.4%","8.0%","22.8%","40.5%","28.2%","0.70","29.5%","53.8%","16.7%","0.7","-1.5%","-1.2","30%","80%","43%",2021,"87.8","37.5%"
"699","Tampa Bay Rays",".328","112",".294",".186","3.6%","24.8%","9.4%","22.9%","42.4%","26.2%","0.74","29.4%","52.9%","17.7%","7.3","5.6%","113.1","35%","68%","47%",2021,"88.6","40.0%"
"700","Texas Rangers",".297","82",".280",".143","2.8%","23.2%","7.3%","22.5%","46.3%","23.3%","0.88","27.1%","54.4%","18.5%","-17.1","-3.0%","-141.9","29%","79%","41%",2021,"87.3","35.8%"
"701","Toronto Blue Jays",".345","113",".296",".200","4.3%","20.1%","8.2%","24.5%","40.5%","27.1%","0.69","28.7%","53.8%","17.6%","3.1","2.5%","96.8","33%","80%","41%",2021,"90.0","42.6%"
"702","Washington Nationals",".335","109",".307",".159","3.0%","21.3%","9.4%","24.2%","47.0%","21.9%","0.92","26.4%","55.7%","17.9%","-1.9","-1.1%","13.5","29%","68%","36%",2021,"87.6","39.4%"
"703","League Average",".321","97",".292",".167","3.3%","23.2%","8.7%","23.6%","42.7%","25.7%","0.76","28.6%","53.8%","17.6%","-3","-1%","-10","31%","76%","40%",2021,"88.1","38.8%"
"704","",".321","97",".292",".167","3.3%","23.2%","8.7%","23.6%","42.7%","25.7%","0.76","28.6%","53.8%","17.6%","-76.2","-15.4%","-292.7","31%","76%","40%",2021,"88.1","38.8%"
"705","Arizona Diamondbacks",".309","94",".272",".155","2.9%","22.3%","8.8%","21.8%","43.9%","25.7%","0.81","32.7%","50.4%","16.9%","-2.2","-1.2%","-11.0","32%","78%","49%",2022,"87.1","36.0%"
"706","Atlanta Braves",".334","108",".303",".190","4.0%","24.6%","7.7%","23.0%","42.2%","27.6%","0.73","30.5%","52.9%","16.6%","5.7","3.3%","64.9","32%","74%","50%",2022,"89.8","43.6%"
"707","Baltimore Orioles",".313","100",".284",".154","2.8%","23.0%","7.9%","24.2%","38.9%","26.3%","0.65","30.5%","52.0%","17.5%","-1.7","-1.4%","-14.1","30%","75%","45%",2022,"88.0","39.2%"
"708","Boston Red Sox",".325","101",".313",".152","2.5%","22.4%","7.8%","25.3%","43.5%","24.1%","0.78","26.3%","54.2%","19.5%","-3.1","-2.1%","17.9","32%","72%","38%",2022,"89.0","41.0%"
"709","Chicago Cubs",".314","94",".294",".148","2.6%","23.9%","8.4%","23.2%","45.8%","23.6%","0.86","28.9%","51.3%","19.7%","-12.4","-2.5%","-85.9","29%","75%","44%",2022,"87.8","37.7%"
"710","Chicago White Sox",".313","97",".304",".131","2.4%","20.7%","6.3%","24.1%","45.3%","24.0%","0.84","27.1%","52.4%","20.6%","-2.2","-1.2%","-21.3","30%","85%","37%",2022,"88.9","41.0%"
"711","Cincinnati Reds",".302","83",".290",".137","2.6%","23.9%","7.6%","23.7%","43.3%","24.8%","0.78","30.2%","51.3%","18.5%","-13.8","-1.9%","-90.6","29%","64%","39%",2022,"86.8","35.0%"
"712","Cleveland Guardians",".313","100",".294",".129","2.1%","18.2%","7.3%","24.7%","44.1%","22.6%","0.80","28.0%","52.6%","19.3%","0.7","0.1%","-1.2","31%","82%","43%",2022,"86.7","33.3%"
"713","Colorado Rockies",".318","90",".307",".144","2.4%","21.8%","7.4%","24.5%","46.4%","23.3%","0.88","26.5%","54.2%","19.3%","-6.8","-0.3%","-57.7","30%","69%","43%",2022,"87.4","37.0%"
"714","Detroit Tigers",".285","81",".290",".115","1.9%","24.1%","6.5%","24.2%","44.5%","23.7%","0.81","28.8%","51.2%","20.0%","-10.6","-2.2%","-128.0","28%","66%","44%",2022,"87.3","36.7%"
"715","Houston Astros",".329","110",".278",".176","3.5%","19.5%","8.7%","23.8%","40.6%","28.3%","0.69","30.0%","53.3%","16.7%","5.1","2.6%","57.7","30%","79%","37%",2022,"88.2","39.2%"
"716","Kansas City Royals",".308","93",".293",".136","2.3%","21.4%","7.7%","23.8%","41.4%","27.2%","0.72","29.6%","52.0%","18.3%","-8.3","-2.3%","-55.4","29%","75%","46%",2022,"88.1","37.9%"
"717","Los Angeles Angels",".305","91",".289",".157","3.2%","25.8%","7.5%","23.2%","40.4%","27.4%","0.70","29.0%","53.0%","18.0%","-11.5","-1.1%","-81.2","27%","74%","41%",2022,"87.3","35.9%"
"718","Los Angeles Dodgers",".344","115",".302",".185","3.4%","22.0%","9.7%","24.9%","37.1%","31.6%","0.59","32.0%","50.5%","17.5%","12.1","4.4%","132.5","34%","84%","40%",2022,"89.3","42.0%"
"719","Miami Marlins",".299","85",".284",".133","2.4%","24.0%","7.3%","23.6%","44.5%","25.5%","0.81","27.3%","53.4%","19.3%","-12.8","-2.5%","-134.0","27%","81%","38%",2022,"87.9","37.4%"
"720","Milwaukee Brewers",".322","102",".279",".174","3.6%","23.9%","9.4%","22.7%","42.0%","27.9%","0.73","30.2%","52.7%","17.1%","0.6","-1.2%","1.7","29%","76%","40%",2022,"88.7","39.9%"
"721","Minnesota Twins",".321","106",".295",".153","2.9%","22.1%","8.5%","24.4%","41.8%","27.5%","0.72","30.2%","51.8%","18.0%","-4.3","-0.6%","2.3","29%","69%","40%",2022,"89.3","41.2%"
"722","New York Mets",".331","113",".302",".153","2.8%","19.7%","8.3%","24.2%","43.9%","24.6%","0.80","28.8%","52.3%","18.9%","7.1","4.3%","81.6","31%","74%","38%",2022,"87.7","37.2%"
"723","New York Yankees",".335","113",".276",".185","4.1%","22.5%","10.1%","23.2%","41.2%","27.4%","0.71","29.2%","52.0%","18.9%","4.4","3.0%","105.0","31%","76%","38%",2022,"89.3","42.0%"
"724","Oakland Athletics",".283","83",".264",".130","2.3%","23.7%","7.4%","22.9%","44.4%","24.4%","0.82","29.4%","51.4%","19.2%","-12.1","-2.3%","-103.6","28%","77%","44%",2022,"86.9","34.3%"
"725","Philadelphia Phillies",".329","108",".299",".169","3.4%","22.4%","7.9%","23.7%","42.8%","25.7%","0.76","28.2%","51.7%","20.2%","3.6","0.8%","43.2","31%","79%","39%",2022,"88.9","41.3%"
"726","Pittsburgh Pirates",".295","84",".277",".141","2.7%","25.3%","8.1%","23.1%","44.0%","25.1%","0.80","30.5%","52.0%","17.6%","-11.3","-2.0%","-118.7","27%","74%","42%",2022,"87.6","37.5%"
"727","San Diego Padres",".314","104",".289",".141","2.5%","21.5%","9.3%","23.5%","42.6%","25.5%","0.76","30.4%","50.9%","18.7%","-1.7","0.2%","6.0","30%","69%","44%",2022,"87.8","37.9%"
"728","Seattle Mariners",".317","107",".272",".160","3.2%","22.8%","9.7%","23.2%","40.2%","27.7%","0.68","30.2%","52.4%","17.5%","1.0","-0.7%","15.9","28%","75%","38%",2022,"87.9","36.9%"
"729","San Francisco Giants",".316","100",".284",".156","3.0%","23.9%","9.3%","22.7%","39.9%","28.4%","0.68","30.9%","50.9%","18.2%","-1.4","-0.9%","7.7","30%","80%","36%",2022,"87.6","37.8%"
"730","St. Louis Cardinals",".332","113",".289",".168","3.2%","19.9%","8.7%","23.3%","41.4%","26.3%","0.71","30.4%","51.9%","17.6%","1.6","0.2%","70.5","31%","79%","46%",2022,"87.9","37.5%"
"731","Tampa Bay Rays",".307","99",".295",".138","2.3%","23.2%","8.3%","24.4%","44.1%","23.0%","0.80","29.1%","51.8%","19.2%","-4.8","-1.8%","-20.6","30%","72%","47%",2022,"88.6","38.9%"
"732","Texas Rangers",".311","96",".287",".157","3.3%","24.0%","7.6%","23.1%","40.5%","27.1%","0.70","31.0%","51.8%","17.2%","-4.0","-0.3%","3.0","31%","76%","44%",2022,"88.5","39.5%"
"733","Toronto Blue Jays",".336","118",".305",".168","3.3%","20.2%","8.1%","23.6%","45.6%","23.0%","0.85","28.2%","52.1%","19.6%","7.2","4.2%","90.6","31%","66%","41%",2022,"90.0","44.5%"
"734","Washington Nationals",".308","98",".295",".129","2.3%","20.4%","7.4%","24.0%","45.7%","22.1%","0.87","30.1%","51.3%","18.6%","-10.1","-1.2%","-95.2","27%","71%","37%",2022,"86.7","35.7%"
"735","League Average",".316","100",".290",".152","2.9%","22.4%","8.2%","23.7%","42.7%","25.7%","0.76","29.5%","52.1%","18.5%","-3","-0%","-11","30%","75%","41%",2022,"88.1","38.5%"
"736","",".316","100",".290",".152","2.9%","22.4%","8.2%","23.7%","42.7%","25.7%","0.76","29.5%","52.1%","18.5%","-85.9","-6.7%","-318.2","30%","75%","41%",2022,"88.1","38.5%"
"737","Arizona Diamondbacks",".324","96",".293",".158","2.7%","20.4%","8.8%","23.8%","44.3%","24.5%","0.82","30.7%","51.6%","17.7%","3.0","2.9%","-18.0","32%","86%","46%",2023,"88.0","38.3%"
"738","Atlanta Braves",".365","125",".306",".225","4.9%","20.6%","8.6%","24.2%","43.1%","27.0%","0.76","31.0%","52.1%","17.0%","19.4","7.4%","189.3","34%","83%","51%",2023,"90.9","46.2%"
"739","Baltimore Orioles",".324","106",".305",".166","3.0%","22.4%","8.4%","23.5%","42.1%","26.7%","0.74","30.6%","51.0%","18.4%","10.4","7.2%","72.7","35%","83%","49%",2023,"89.0","40.9%"
"740","Boston Red Sox",".329","100",".310",".166","3.0%","22.2%","7.9%","24.1%","42.2%","26.0%","0.74","30.3%","51.9%","17.8%","-2.7","0.5%","8.4","32%","81%","39%",2023,"88.8","40.4%"
"741","Chicago Cubs",".332","106",".303",".167","3.2%","22.4%","9.2%","24.9%","42.8%","24.9%","0.76","29.4%","52.4%","18.2%","0.3","-1.4%","63.5","33%","80%","44%",2023,"88.4","38.5%"
"742","Chicago White Sox",".298","83",".289",".146","2.9%","23.8%","6.3%","24.2%","45.5%","22.9%","0.85","29.0%","52.1%","18.9%","-14.3","-2.5%","-123.8","29%","80%","42%",2023,"88.1","37.8%"
"743","Cincinnati Reds",".334","99",".306",".170","3.2%","24.2%","9.0%","23.7%","41.3%","26.3%","0.72","30.5%","51.9%","17.6%","-1.9","-2.7%","-3.9","31%","80%","47%",2023,"87.5","36.7%"
"744","Cleveland Guardians",".307","89",".292",".131","2.0%","18.7%","7.7%","25.2%","44.1%","22.7%","0.80","29.2%","51.6%","19.1%","-6.8","-3.7%","-94.0","30%","81%","43%",2023,"87.0","33.1%"
"745","Colorado Rockies",".316","83",".315",".156","2.7%","25.5%","7.4%","25.4%","42.1%","26.0%","0.74","30.1%","51.9%","18.0%","-6.6","-1.2%","-79.9","32%","75%","40%",2023,"87.5","36.6%"
"746","Detroit Tigers",".305","89",".291",".146","2.7%","24.2%","8.4%","23.6%","42.1%","27.0%","0.73","28.8%","52.8%","18.4%","-10.1","-3.8%","-96.6","29%","79%","45%",2023,"88.8","40.7%"
"747","Houston Astros",".338","112",".294",".178","3.6%","19.9%","8.8%","24.0%","41.6%","27.5%","0.72","29.5%","52.1%","18.5%","3.2","4.0%","80.6","33%","77%","37%",2023,"88.2","38.9%"
"748","Kansas City Royals",".310","89",".296",".153","2.7%","23.3%","6.9%","25.4%","40.0%","26.9%","0.68","30.1%","51.6%","18.3%","-11.3","-2.0%","-74.5","30%","78%","44%",2023,"88.9","41.2%"
"749","Los Angeles Angels",".323","100",".295",".181","3.8%","24.8%","8.4%","22.9%","41.4%","28.1%","0.72","30.5%","51.2%","18.3%","-3.0","-0.5%","-20.8","29%","70%","38%",2023,"88.9","40.4%"
"750","Los Angeles Dodgers",".348","115",".294",".197","3.9%","21.5%","10.2%","24.6%","38.2%","30.2%","0.62","31.3%","51.3%","17.4%","11.5","7.2%","142.9","34%","81%","41%",2023,"89.0","40.8%"
"751","Miami Marlins",".319","88",".308",".146","2.8%","21.3%","7.1%","24.2%","45.6%","23.5%","0.86","26.4%","53.3%","20.3%","-7.3","-4.2%","-115.6","28%","80%","38%",2023,"88.3","38.2%"
"752","Milwaukee Brewers",".315","92",".292",".146","2.7%","23.2%","9.7%","22.2%","44.9%","25.3%","0.82","29.8%","52.2%","18.0%","-5.3","-3.6%","-36.1","31%","82%","42%",2023,"88.0","37.9%"
"753","Minnesota Twins",".331","105",".304",".184","3.8%","26.6%","9.6%","24.7%","39.5%","27.9%","0.66","31.1%","50.6%","18.2%","-4.7","-3.2%","11.6","30%","83%","43%",2023,"88.9","41.5%"
"754","New York Mets",".321","99",".275",".169","3.6%","22.0%","8.7%","23.1%","41.8%","26.9%","0.73","30.9%","51.2%","17.9%","-6.9","-1.4%","-21.4","29%","89%","45%",2023,"89.0","40.2%"
"755","New York Yankees",".307","89",".266",".171","3.7%","23.9%","9.3%","23.2%","42.3%","27.1%","0.74","28.6%","53.7%","17.7%","-7.5","-3.3%","-83.9","28%","77%","39%",2023,"89.4","41.9%"
"756","Oakland Athletics",".297","87",".276",".147","2.9%","25.1%","8.4%","21.8%","42.6%","26.4%","0.77","30.8%","51.2%","18.0%","-15.6","-0.4%","-151.0","26%","83%","40%",2023,"87.1","35.3%"
"757","Philadelphia Phillies",".337","107",".308",".182","3.5%","23.9%","8.7%","24.5%","41.5%","26.6%","0.72","30.8%","50.2%","19.1%","2.3","0.1%","30.8","32%","84%","43%",2023,"88.9","40.8%"
"758","Pittsburgh Pirates",".312","89",".296",".153","2.6%","24.0%","9.1%","24.2%","42.7%","24.9%","0.76","30.1%","51.7%","18.2%","-7.3","-3.5%","-76.9","30%","74%","43%",2023,"88.4","40.6%"
"759","San Diego Padres",".330","105",".283",".170","3.3%","21.2%","10.6%","22.4%","42.2%","26.2%","0.74","30.6%","51.9%","17.5%","-6.2","-3.8%","-7.5","30%","81%","44%",2023,"88.6","39.5%"
"760","Seattle Mariners",".324","110",".301",".170","3.4%","25.9%","8.8%","24.3%","39.7%","27.9%","0.66","34.5%","49.4%","16.1%","-1.4","-2.4%","26.7","30%","80%","40%",2023,"89.1","41.4%"
"761","San Francisco Giants",".309","93",".290",".149","2.9%","24.5%","8.9%","23.4%","41.2%","27.0%","0.72","31.1%","50.6%","18.3%","-5.5","-2.6%","-80.0","29%","78%","43%",2023,"87.9","39.2%"
"762","St. Louis Cardinals",".328","101",".291",".166","3.4%","21.4%","9.2%","22.9%","43.0%","25.8%","0.76","29.0%","52.5%","18.5%","-4.3","-1.3%","-47.1","28%","78%","40%",2023,"89.0","41.6%"
"763","Tampa Bay Rays",".342","115",".308",".185","3.7%","23.0%","8.3%","22.6%","43.8%","25.4%","0.79","31.5%","50.6%","17.9%","10.8","6.0%","124.9","34%","80%","46%",2023,"89.1","40.9%"
"764","Texas Rangers",".345","118",".310",".190","3.7%","22.5%","9.5%","25.3%","39.7%","28.4%","0.66","29.0%","53.0%","18.0%","6.9","6.4%","142.3","34%","81%","39%",2023,"89.5","41.6%"
"765","Toronto Blue Jays",".329","106",".301",".161","3.0%","21.0%","8.8%","24.5%","41.6%","26.0%","0.72","28.8%","51.1%","20.1%","-4.9","-3.7%","-12.6","29%","74%","41%",2023,"88.2","39.0%"
"766","Washington Nationals",".317","98",".293",".142","2.5%","18.9%","7.0%","24.4%","44.4%","23.1%","0.82","31.3%","51.1%","17.6%","-1.7","-1.0%","-46.3","31%","81%","40%",2023,"87.3","35.3%"
"767","League Average",".324","100",".297",".166","3.2%","22.7%","8.6%","23.9%","42.3%","26.2%","0.74","30.2%","51.7%","18.2%","-2","-0%","-10","31%","80%","42%",2023,"88.5","39.5%"
"768","",".324","100",".297",".166","3.2%","22.7%","8.6%","23.9%","42.3%","26.2%","0.74","30.2%","51.7%","18.2%","-67.5","-10.7%","-296.1","31%","80%","42%",2023,"88.5","39.5%"
"769","Arizona Diamondbacks",".341","115",".302",".177","3.4%","20.1%","9.1%","22.7%","42.8%","25.3%","0.77","32.6%","50.0%","17.4%","11.3","7.5%","154.3","35%","80%","46%",2024,"88.2","39.2%"
"770","Atlanta Braves",".321","101",".291",".172","3.5%","24.1%","8.0%","23.9%","41.2%","27.6%","0.71","32.5%","50.6%","16.9%","-5.2","-3.2%","-29.5","29%","78%","40%",2024,"89.6","42.7%"
"771","Baltimore Orioles",".329","118",".288",".186","3.8%","22.0%","7.9%","24.1%","40.4%","27.8%","0.68","29.3%","52.5%","18.2%","7.5","4.6%","95.7","32%","80%","43%",2024,"89.4","42.5%"
"772","Boston Red Sox",".328","104",".314",".171","3.1%","25.4%","8.0%","24.0%","41.4%","26.8%","0.72","29.5%","53.0%","17.5%","-1.6","0.4%","3.2","31%","77%","44%",2024,"88.7","41.1%"
"773","Chicago Cubs",".316","100",".291",".151","2.8%","22.3%","8.9%","23.4%","40.4%","28.3%","0.69","30.3%","50.2%","19.5%","-0.8","-2.1%","22.0","32%","83%","43%",2024,"88.2","38.4%"
"774","Chicago White Sox",".278","76",".272",".119","2.3%","23.9%","6.7%","24.1%","42.1%","25.6%","0.74","28.2%","53.0%","18.8%","-25.8","-2.3%","-214.4","25%","73%","41%",2024,"87.5","35.4%"
"775","Cincinnati Reds",".313","88",".283",".157","2.9%","24.4%","8.3%","23.7%","41.3%","26.8%","0.71","31.8%","50.3%","17.9%","-10.0","-3.3%","-45.6","31%","82%","47%",2024,"87.2","36.0%"
"776","Cleveland Guardians",".312","98",".271",".157","3.1%","20.2%","7.9%","23.1%","40.8%","26.5%","0.70","34.0%","50.0%","16.0%","-0.5","0.7%","1.6","32%","76%","44%",2024,"87.1","33.8%"
"777","Colorado Rockies",".310","86",".308",".158","3.0%","26.8%","7.5%","24.3%","42.7%","27.1%","0.75","29.7%","51.6%","18.6%","-6.8","-1.1%","-77.0","30%","73%","42%",2024,"88.2","39.7%"
