"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"95","Boston Red Sox","1464.2","599","162","809","4.97","4.92","-0.15","-0.01","103.0","5.21","41","5.1","1.08","-0.9","19.5","205",".509",".503","$39,809,000",2003,NA
"96","Chicago Cubs","1456.1","582","162","683","4.22","4.74","-0.16","0.03","100.9","4.98","115","13.4","1.13","-1.1","24.9","249",".523",".506","$26,563,333",2003,NA
"97","Chicago White Sox","1431.0","523","162","715","4.50","4.77","0.12","0.02","102.3","4.78","46","5.6","1.13","-0.2","20.2","207",".511",".504","$17,680,000",2003,NA
"98","Cincinnati Reds","1446.1","637","162","886","5.51","4.73","0.02","-0.02","96.2","4.51","-169","-15.1","1.13","-0.8","-3.4","-36",".476",".498","$21,566,667",2003,NA
"99","Cleveland Indians","1459.1","590","162","778","4.80","4.79","0.16","-0.01","98.8","4.56","-37","-2.8","1.19","-0.7","11.7","127",".495",".500","$12,259,600",2003,NA
"100","Colorado Rockies","1420.0","662","162","892","5.65","4.51","0.05","-0.02","115.3","5.11","-92","-8.5",".96","-1.1","2.6","39",".487",".500","$20,585,000",2003,NA
"101","Detroit Tigers","1438.2","613","162","928","5.81","4.90","-0.19","-0.02","96.0","4.87","-148","-13.9","1.12","-2.1","-1.0","13",".477",".496","$13,296,000",2003,NA
"102","Florida Marlins","1445.1","557","162","692","4.31","4.74","-0.11","0.01","98.3","4.78","69","8.0","1.04","-0.6","19.8","202",".514",".503","$15,259,426",2003,NA
"103","Houston Astros","1450.0","664","162","677","4.20","4.70","0.39","-0.04","102.1","4.37","20","2.4","1.13","-0.7","14.3","153",".504",".502","$13,205,000",2003,NA
"104","Kansas City Royals","1438.2","569","162","867","5.42","4.77","-0.32","-0.01","108.1","5.48","11","2.1","1.13","-0.9","16.2","173",".504",".502","$6,402,500",2003,NA
"105","Los Angeles Dodgers","1457.2","600","162","556","3.43","4.63","0.36","0.00","94.8","4.05","93","10.1","1.26","-0.4","22.2","227",".517",".507","$59,114,286",2003,NA
"106","Milwaukee Brewers","1452.0","622","162","873","5.41","4.72","-0.47","-0.01","99.8","5.16","-47","-3.8","1.12","-1.6","7.2","87",".494",".498","$14,376,000",2003,NA
"107","Minnesota Twins","1462.0","561","162","758","4.67","4.74","-0.03","0.00","100.1","4.78","20","2.5","1.24","-0.4","17.3","184",".504",".503","$36,420,000",2003,NA
"108","Montreal Expos","1437.2","599","162","716","4.48","4.82","-0.04","0.01","104.3","5.08","88","10.2","1.25","-1.2","21.4","220",".517",".504","$14,878,500",2003,NA
