"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"615","Miami Marlins","504.0","275","60","304","5.43","5.35","-0.05","-0.01","99.9","5.44","0","1.3","1.08","-0.3","6.0","52",".505",".501","$6,850,000",2020,"0.06"
"616","Milwaukee Brewers","517.1","249","60","264","4.59","4.40","-0.19","-0.01","100.6","4.71","6","1.4","1.00","0.0","6.6","59",".506",".501","$26,916,667",2020,"0.10"
"617","Minnesota Twins","513.1","262","60","215","3.77","4.43","0.35","0.00","97.8","4.06","12","1.5","1.22","-1.0","5.6","68",".506",".501","$62,730,000",2020,"0.07"
"618","New York Mets","513.1","257","60","308","5.40","5.28","-0.35","-0.01","95.6","5.43","1","0.9","1.08","-0.8","5.3","54",".504",".501","$76,441,667",2020,"0.05"
"619","New York Yankees","500.2","234","60","270","4.85","5.10","0.04","0.02","96.5","5.02","5","1.0","1.08","-0.8","5.1","59",".504",".501","$133,075,000",2020,"0.11"
"620","Oakland Athletics","515.1","241","60","232","4.05","4.80","-0.14","0.02","93.2","4.73","35","4.1","1.15","-0.4","8.7","90",".517",".502","$37,950,000",2020,"0.11"
"621","Philadelphia Phillies","497.0","249","60","311","5.63","5.17","-0.60","0.03","99.3","5.82","10","1.9","1.22","-0.6","6.3","61",".508",".501","$65,550,000",2020,"0.07"
"622","Pittsburgh Pirates","513.0","269","60","298","5.23","4.41","0.37","-0.01","101.1","4.18","-60","-5.3","1.16","-1.4","-1.7","-7",".480",".498","$11,390,000",2020,"0.11"
"623","San Diego Padres","520.1","278","60","241","4.17","4.93","0.16","-0.01","94.1","4.53","20","2.4","1.06","-0.5","7.1","74",".509",".501","$36,462,000",2020,"0.05"
"624","Seattle Mariners","516.2","249","60","303","5.28","4.93","0.24","0.02","94.3","4.50","-49","-4.2","1.05","-1.0","-0.2","7",".483",".499","$23,050,000",2020,"0.07"
"625","San Francisco Giants","517.2","296","60","297","5.16","5.04","0.09","-0.01","95.6","4.80","-22","-1.6","1.07","-1.5","2.0","32",".494",".500","$60,313,334",2020,"0.08"
"626","St. Louis Cardinals","473.0","234","58","229","4.36","4.19","0.63","0.01","94.7","3.45","-48","-3.7","1.05","-0.9","0.1","1",".484",".500","$30,104,500",2020,"0.08"
"627","Tampa Bay Rays","527.2","279","60","229","3.91","5.18","0.39","-0.03","93.5","4.52","32","3.5","1.31","-0.6","8.0","89",".512",".501","$27,960,000",2020,"0.09"
"628","Texas Rangers","516.2","264","60","312","5.43","4.97","0.19","0.02","100.3","4.85","-38","-3.0",".86","-0.9","1.1","18",".489",".500","$50,883,334",2020,"0.04"
"629","Toronto Blue Jays","524.2","286","60","312","5.35","5.13","-0.53","-0.03","99.6","5.74","18","2.5","1.42","-0.1","7.6","75",".509",".501","$48,400,000",2020,"0.13"
"630","Washington Nationals","503.2","262","60","301","5.38","5.19","-0.79","0.02","99.9","6.06","37","4.2","1.10","-0.7","8.5","89",".516",".502","$116,837,283",2020,"0.08"
"631","Arizona Diamondbacks","1417.1","727","162","893","5.67","4.70","-0.25","0.00","99.9","5.04","-95","-8.6","1.02","-1.6","3.5","35",".488",".499","$42,450,000",2021,"0.08"
"632","Atlanta Braves","1410.2","742","161","656","4.19","4.58","0.27","0.01","102.8","4.51","56","6.6","1.22","-0.7","19.5","186",".509",".503","$54,800,000",2021,"0.07"
"633","Baltimore Orioles","1402.0","731","162","956","6.14","4.86","-0.21","-0.03","102.9","5.24","-147","-13.2","1.05","-0.5","-0.2","-2",".482",".498","$3,400,000",2021,"0.05"
"634","Boston Red Sox","1419.0","725","162","749","4.75","4.78","0.10","0.00","107.5","5.13","52","6.3","1.20","-1.1","18.9","198",".509",".502","$82,570,000",2021,"0.09"
"635","Chicago Cubs","1412.2","761","162","839","5.35","4.60","0.21","-0.01","100.0","4.45","-136","-12.6","1.10","-0.7","0.4","-6",".483",".498","$70,630,000",2021,"0.07"
"636","Chicago White Sox","1403.1","674","162","636","4.08","4.63","-0.17","0.02","101.4","4.94","127","14.3","1.15","-1.1","26.6","272",".521",".505","$50,446,333",2021,"0.06"
"637","Cincinnati Reds","1434.1","741","162","760","4.77","4.58","-0.21","0.01","110.6","5.42","108","12.4","1.18","-1.8","24.4","240",".517",".503","$34,846,667",2021,"0.10"
"638","Cleveland Indians","1408.0","697","162","727","4.65","4.69","-0.03","0.00","99.6","4.78","13","2.1","1.04","-1.0","14.6","159",".503",".502","$4,645,500",2021,"0.07"
"639","Colorado Rockies","1397.0","704","161","796","5.13","4.70","0.45","0.01","113.2","4.93","-26","-2.1","1.15","-1.9","9.5","102",".497",".500","$32,950,000",2021,"0.10"
"640","Detroit Tigers","1419.2","739","162","756","4.79","4.70","-0.22","-0.02","98.5","4.92","13","1.9","1.09","-1.0","14.5","159",".503",".500","$26,970,000",2021,"0.10"
"641","Houston Astros","1445.0","674","162","658","4.10","4.63","0.47","0.02","98.7","4.22","11","1.7","1.21","-1.4","14.1","160",".503",".501","$71,100,000",2021,"0.10"
"642","Kansas City Royals","1417.1","718","162","788","5.00","4.75","0.19","-0.01","104.4","4.81","-38","-2.9","1.06","-1.1","9.6","108",".496",".500","$34,950,000",2021,"0.06"
"643","Los Angeles Angels","1421.2","724","162","804","5.09","4.78","-0.19","-0.01","102.1","5.12","-3","0.8","1.11","-0.6","13.8","144",".501",".501","$46,600,000",2021,"0.06"
"644","Los Angeles Dodgers","1452.0","762","162","561","3.48","4.60","0.26","0.01","100.1","4.48","166","18.6","1.25","-0.7","31.9","300",".524",".505","$156,866,667",2021,"0.12"
"645","Miami Marlins","1415.0","757","162","701","4.46","4.70","0.30","-0.01","99.9","4.48","8","1.9","1.13","-0.4","15.2","138",".503",".502","$7,350,000",2021,"0.09"
"646","Milwaukee Brewers","1436.0","695","162","623","3.90","4.55","0.41","0.01","98.6","4.19","51","7.1","1.16","-0.3","20.6","183",".510",".504","$20,617,626",2021,"0.10"
"647","Minnesota Twins","1419.1","691","162","834","5.29","4.68","0.24","-0.01","98.3","4.47","-137","-12.0","1.16","-1.8","-0.1","10",".483",".499","$45,875,000",2021,"0.12"
"648","New York Mets","1379.1","705","162","668","4.36","4.65","0.26","0.00","94.8","4.26","-10","0.7","1.23","-0.7","13.3","117",".501",".502","$122,104,667",2021,"0.11"
"649","New York Yankees","1435.1","674","162","669","4.19","4.82","-0.19","0.00","99.5","5.09","135","14.7","1.41","-0.6","27.8","282",".522",".505","$96,780,000",2021,"0.09"
"650","Oakland Athletics","1433.0","666","162","687","4.31","4.71","-0.03","0.02","95.3","4.59","36","4.2","1.08","-1.3","16.6","183",".506",".502","$25,887,500",2021,"0.06"
"651","Philadelphia Phillies","1418.2","687","162","745","4.73","4.61","-0.41","0.01","98.6","5.03","53","6.7","1.12","-1.2","19.1","184",".510",".503","$64,978,000",2021,"0.08"
"652","Pittsburgh Pirates","1396.1","745","162","833","5.37","4.64","-0.07","-0.02","101.4","4.81","-82","-7.5",".97","-0.8","5.3","46",".490",".500","$14,280,000",2021,"0.05"
"653","San Diego Padres","1430.0","786","162","708","4.46","4.64","0.13","-0.03","92.9","4.27","-25","-1.9","1.06","-2.0","9.9","106",".498",".500","$58,920,000",2021,"0.11"
"654","Seattle Mariners","1440.1","746","162","748","4.67","4.72","-0.01","0.00","95.3","4.61","-18","-0.7","1.27","-0.3","12.8","131",".499",".501","$37,420,500",2021,"0.11"
"655","San Francisco Giants","1455.0","761","162","594","3.67","4.58","0.20","0.00","98.4","4.41","125","13.7","1.26","-1.3","26.5","258",".518",".505","$65,069,334",2021,"0.11"
"656","St. Louis Cardinals","1417.0","718","162","672","4.27","4.53","0.46","0.01","94.2","3.88","-57","-5.0","1.09","-1.2","7.5","73",".493",".500","$78,963,000",2021,"0.04"
"657","Tampa Bay Rays","1455.2","693","162","651","4.02","4.67","0.44","-0.02","94.4","4.08","2","1.2","1.24","-1.0","14.2","152",".502",".501","$20,120,500",2021,"0.11"
"658","Texas Rangers","1424.1","669","162","815","5.15","4.80","0.60","0.00","101.8","4.37","-131","-11.9","1.01","-1.5","0.4","16",".482",".498","$25,907,666",2021,"0.10"
"659","Toronto Blue Jays","1405.1","698","162","663","4.25","4.76","0.15","0.01","103.1","4.83","84","9.6","1.05","-1.5","21.5","229",".514",".503","$50,820,500",2021,"0.07"
"660","Washington Nationals","1394.1","731","162","820","5.29","4.59","0.10","0.01","96.0","4.39","-135","-12.8","1.09","-2.0","-1.4","-7",".482",".496","$120,120,147",2021,"0.07"
"661","Arizona Diamondbacks","1430.0","708","162","740","4.66","4.45","0.31","0.01","99.2","4.18","-73","-6.2","1.16","-2.2","5.3","55",".491",".499","$50,885,000",2022,"0.06"
"662","Atlanta Braves","1448.0","680","162","609","3.79","4.37","0.18","0.01","100.3","4.30","86","10.4","1.18","-1.3","22.9","216",".515",".504","$76,950,000",2022,"0.09"
"663","Baltimore Orioles","1433.1","703","162","688","4.32","4.39","0.23","-0.01","100.4","4.25","-5","0.5","1.19","-0.2","13.9","115",".501",".502","$12,200,000",2022,"0.08"
"664","Boston Red Sox","1431.0","738","162","787","4.95","4.41","0.05","-0.01","107.8","4.77","-21","-1.2","1.20","-1.1","11.4","99",".498",".500","$90,195,000",2022,"0.09"
"665","Chicago Cubs","1443.2","690","162","731","4.56","4.41","0.02","-0.02","103.3","4.63","15","2.9","1.24","-0.5","16.1","144",".504",".502","$69,500,000",2022,"0.12"
"666","Chicago White Sox","1447.2","711","162","717","4.46","4.23","-0.16","0.01","102.2","4.59","29","4.2","1.13","-1.1","16.8","150",".506",".502","$69,408,334",2022,"0.10"
"667","Cincinnati Reds","1423.1","736","162","815","5.15","4.43","-0.20","-0.01","106.9","5.00","-21","-0.7",".98","-1.3","11.6","107",".499",".500","$20,600,000",2022,"0.07"
"668","Cleveland Guardians","1456.0","669","162","634","3.92","4.21","0.49","0.01","98.2","3.79","-14","-0.1","1.20","-0.7","13.0","108",".500",".502","$13,410,000",2022,"0.12"
"669","Colorado Rockies","1425.1","659","162","873","5.51","4.50","0.04","0.01","113.1","5.13","-57","-5.6","1.16","-0.8","7.2","70",".491",".499","$43,630,000",2022,"0.08"
"670","Detroit Tigers","1419.2","742","162","713","4.52","4.31","0.17","-0.01","100.1","4.18","-47","-4.2","1.06","-2.4","7.0","72",".494",".499","$43,265,000",2022,"0.04"
"671","Houston Astros","1445.1","642","162","518","3.23","4.24","0.45","0.03","97.5","3.78","97","11.3","1.13","-1.3","23.7","218",".518",".504","$82,075,000",2022,"0.06"
"672","Kansas City Royals","1416.0","722","162","810","5.15","4.32","-0.25","0.00","105.1","4.85","-39","-3.1","1.09","-1.2","9.2","79",".496",".501","$35,025,000",2022,"0.05"
"673","Los Angeles Angels","1435.2","652","162","668","4.19","4.35","0.10","0.00","102.1","4.43","46","6.1","1.25","-1.4","18.4","166",".509",".502","$54,000,000",2022,"0.08"
"674","Los Angeles Dodgers","1451.1","725","162","513","3.18","4.34","0.51","0.00","99.7","3.89","117","13.4","1.03","-1.3","26.0","247",".519",".504","$98,312,000",2022,"0.07"
"675","Miami Marlins","1437.1","694","162","676","4.23","4.50","0.11","0.01","99.9","4.48","43","6.0","1.16","-1.3","18.4","171",".509",".502","$16,525,000",2022,"0.08"
"676","Milwaukee Brewers","1446.0","710","162","688","4.28","4.34","0.29","0.00","99.7","4.14","-20","-1.3","1.30","-1.3","11.2","109",".498",".501","$40,539,460",2022,"0.10"
"677","Minnesota Twins","1437.0","710","162","684","4.28","4.24","0.19","-0.02","100.0","4.12","-19","-1.4","1.15","-1.1","11.2","101",".498",".500","$16,050,000",2022,"0.09"
"678","New York Mets","1438.2","645","162","606","3.79","4.35","-0.01","0.01","94.7","4.19","67","8.6","1.00","-0.8","21.6","196",".513",".504","$127,808,333",2022,"0.05"
"679","New York Yankees","1451.2","669","162","567","3.52","4.33","0.67","0.01","100.7","3.82","56","6.7","1.32","-1.2","19.3","178",".510",".502","$100,855,000",2022,"0.12"
"680","Oakland Athletics","1426.1","692","162","770","4.86","4.35","-0.16","0.01","94.5","4.32","-77","-7.5","1.11","-0.7","5.4","42",".489",".499","$10,750,000",2022,"0.06"
"681","Philadelphia Phillies","1428.1","678","162","685","4.32","4.37","-0.32","0.02","97.2","4.64","54","6.7","1.09","-0.5","19.8","182",".510",".503","$71,675,000",2022,"0.06"
"682","Pittsburgh Pirates","1421.0","666","162","817","5.17","4.42","0.01","-0.02","100.0","4.44","-113","-10.2","1.15","-1.2","2.1","14",".485",".498","$6,825,000",2022,"0.05"
"683","San Diego Padres","1443.1","649","162","660","4.12","4.42","0.12","0.02","94.2","4.13","5","1.3","1.16","-1.9","13.1","134",".502",".501","$94,500,000",2022,"0.07"
"684","Seattle Mariners","1447.0","698","162","623","3.87","4.27","0.27","0.02","94.7","3.89","10","1.4","1.16","-1.6","13.5","131",".502",".501","$44,035,000",2022,"0.10"
"685","San Francisco Giants","1433.0","738","162","697","4.38","4.40","-0.35","-0.02","97.3","4.66","49","6.2","1.09","-1.4","18.4","177",".508",".503","$65,563,000",2022,"0.06"
"686","St. Louis Cardinals","1435.2","628","162","637","3.99","4.28","0.39","0.00","97.0","3.85","-20","-1.5","1.11","-1.0","11.2","108",".498",".501","$76,098,000",2022,"0.07"
"687","Tampa Bay Rays","1435.2","734","162","614","3.85","4.36","0.15","-0.03","95.0","4.08","44","6.5","1.23","-0.2","19.9","164",".509",".503","$30,383,000",2022,"0.11"
"688","Texas Rangers","1435.0","694","162","743","4.66","4.28","0.06","-0.02","101.4","4.35","-43","-3.1","1.14","-1.4","9.2","77",".496",".501","$38,375,000",2022,"0.08"
"689","Toronto Blue Jays","1441.1","746","162","679","4.24","4.35","0.28","-0.01","99.1","4.09","-16","0.0","1.14","-0.5","13.3","104",".500",".501","$88,504,286",2022,"0.07"
"690","Washington Nationals","1411.2","750","162","855","5.45","4.46","-0.28","-0.03","96.6","4.60","-131","-11.9",".84","-1.3","0.3","-4",".484",".499","$68,351,666",2022,"0.05"
"691","Arizona Diamondbacks","1435.1","709","162","761","4.77","4.75","0.24","0.00","100.2","4.59","-28","-1.6","1.06","-1.2","10.9","111",".498",".500","$60,177,100",2023,"0.07"
"692","Atlanta Braves","1440.0","694","162","716","4.48","4.66","0.17","0.00","99.1","4.50","6","1.8","1.13","-1.5","14.1","146",".503",".502","$79,447,500",2023,"0.05"
"693","Baltimore Orioles","1453.2","722","162","678","4.20","4.68","0.15","0.01","94.8","4.37","9","1.6","1.34","0.0","15.3","168",".502",".502","$38,997,900",2023,"0.08"
"694","Boston Red Sox","1430.0","676","162","776","4.88","4.77","-0.11","-0.02","105.1","5.18","28","3.7","1.06","-0.1","17.2","184",".505",".503","$84,217,000",2023,"0.06"
"695","Chicago Cubs","1435.1","672","162","723","4.53","4.66","0.25","0.00","97.5","4.37","-24","-1.9","1.07","-1.8","10.1","115",".497",".500","$77,790,250",2023,"0.07"
"696","Chicago White Sox","1431.2","683","162","841","5.29","4.70","-0.28","0.00","103.7","5.25","-25","-1.8","1.17","-1.7","10.1","132",".497",".500","$50,692,618",2023,"0.09"
"697","Cincinnati Reds","1439.1","767","162","821","5.13","4.72","-0.18","-0.02","106.0","5.25","20","3.0","1.30","0.0","16.8","159",".504",".503","$19,910,833",2023,"0.07"
"698","Cleveland Guardians","1444.0","707","162","697","4.34","4.67","0.17","0.00","98.9","4.56","16","2.7","1.26","-1.1","15.3","174",".504",".501","$29,603,200",2023,"0.11"
"699","Colorado Rockies","1414.0","706","162","957","6.09","4.76","0.10","-0.02","112.6","5.29","-124","-11.5","1.07","-1.6","0.4","13",".484",".499","$76,829,682",2023,"0.05"
"700","Detroit Tigers","1442.1","697","162","740","4.62","4.66","0.14","-0.02","101.9","4.67","-11","0.0","1.13","-0.8","13.0","147",".500",".501","$52,924,200",2023,"0.08"
"701","Houston Astros","1445.1","675","162","698","4.35","4.71","0.16","0.02","99.3","4.59","21","2.5","1.06","-0.9","15.4","179",".504",".502","$112,663,133",2023,"0.06"
"702","Kansas City Royals","1409.0","688","162","859","5.49","4.65","-0.17","0.00","104.0","5.05","-88","-8.3","1.00","-1.4","3.7","66",".488",".497","$50,235,200",2023,"0.03"
"703","Los Angeles Angels","1431.2","653","162","829","5.21","4.78","-0.09","0.00","103.5","5.11","-35","-2.6","1.25","-1.0","10.0","122",".496",".500","$91,878,960",2023,"0.07"
"704","Los Angeles Dodgers","1446.1","713","162","699","4.35","4.66","0.42","0.00","98.2","4.23","-17","-0.3","1.07","-1.3","12.2","123",".500",".501","$99,985,000",2023,"0.08"
"705","Miami Marlins","1435.1","706","162","723","4.53","4.83","-0.05","-0.01","106.5","5.27","119","13.3","1.29","0.1","27.0","258",".519",".506","$38,748,000",2023,"0.08"
"706","Milwaukee Brewers","1443.0","680","162","647","4.04","4.71","0.41","0.01","98.1","4.31","46","5.7","1.20","-0.7","18.7","186",".508",".504","$59,308,960",2023,"0.09"
"707","Minnesota Twins","1451.1","650","162","659","4.09","4.61","0.16","0.01","103.0","4.71","82","9.0","1.23","-0.5","22.3","240",".514",".503","$34,948,900",2023,"0.12"
"708","New York Mets","1416.1","685","162","729","4.63","4.76","-0.09","0.01","95.4","4.67","7","1.8","1.12","-1.0","14.2","144",".503",".501","$72,877,344",2023,"0.04"
"709","New York Yankees","1439.2","665","162","698","4.36","4.82","0.13","-0.01","101.9","4.84","57","7.2","1.22","-0.8","20.0","214",".511",".504","$133,782,408",2023,"0.07"
"710","Oakland Athletics","1419.2","694","162","924","5.86","4.84","-0.51","-0.02","98.3","5.31","-106","-9.4","1.18","-1.2","2.9","50",".486",".499","$24,620,000",2023,"0.07"
"711","Philadelphia Phillies","1442.1","685","162","715","4.46","4.73","-0.21","0.02","98.1","4.96","82","9.3","1.20","-1.4","21.7","221",".514",".504","$95,346,417",2023,"0.09"
"712","Pittsburgh Pirates","1430.0","691","162","790","4.97","4.73","0.04","0.00","102.1","4.83","-21","-1.4","1.14","-0.8","11.4","118",".498",".501","$22,432,500",2023,"0.05"
"713","San Diego Padres","1441.0","669","162","648","4.05","4.73","0.34","0.01","96.2","4.31","44","5.7","1.09","-1.4","18.0","184",".508",".503","$121,494,000",2023,"0.08"
"714","Seattle Mariners","1449.1","712","162","659","4.09","4.71","0.09","0.02","92.0","4.36","23","3.1","1.19","-0.8","16.1","182",".504",".502","$52,891,100",2023,"0.10"
"715","San Francisco Giants","1434.2","658","162","719","4.51","4.74","-0.08","-0.02","96.0","4.68","29","3.5","1.24","-1.6","15.6","168",".505",".502","$95,633,750",2023,"0.09"
"716","St. Louis Cardinals","1428.1","646","162","829","5.22","4.71","-0.02","0.01","100.1","4.79","-66","-5.6","1.18","-0.7","7.4","72",".491",".499","$83,931,100",2023,"0.05"
"717","Tampa Bay Rays","1442.0","698","162","665","4.15","4.67","0.14","-0.01","97.8","4.48","33","4.7","1.18","-0.3","18.2","191",".507",".503","$43,114,266",2023,"0.06"
"718","Texas Rangers","1436.1","629","162","716","4.49","4.66","0.24","0.01","99.4","4.46","-24","-1.8","1.22","-1.7","10.1","133",".497",".500","$155,234,108",2023,"0.06"
"719","Toronto Blue Jays","1451.2","712","162","671","4.16","4.78","0.53","0.01","100.9","4.39","18","2.7","1.22","-0.8","15.6","177",".504",".502","$108,489,635",2023,"0.10"
"720","Washington Nationals","1428.1","688","162","845","5.32","4.77","-0.18","0.00","97.0","4.85","-74","-6.6","1.12","-0.5","6.4","64",".490",".499","$45,499,878",2023,"0.05"
"721","Arizona Diamondbacks","1443.1","698","162","788","4.91","4.53","0.15","-0.01","100.5","4.46","-74","-6.7","1.15","-0.9","6.1","63",".490",".500","$87,771,900",2024,"0.07"
"722","Atlanta Braves","1443.1","643","162","607","3.78","4.54","0.20","0.02","99.8","4.44","103","13.1","1.05","-0.8","26.0","239",".520",".506","$111,360,000",2024,"0.09"
"723","Baltimore Orioles","1442.0","708","162","699","4.36","4.42","-0.08","0.01","93.9","4.29","-16","-0.5","1.11","-1.3","11.9","120",".499",".500","$61,354,400",2024,"0.06"
"724","Boston Red Sox","1452.2","696","162","747","4.63","4.50","0.26","-0.01","106.4","4.63","-5","0.2","1.26","-1.4","12.7","133",".500",".501","$50,826,275",2024,"0.12"
"725","Chicago Cubs","1432.1","658","162","669","4.20","4.45","0.29","0.01","96.3","4.06","-25","-1.7","1.17","-2.0","9.9","111",".497",".500","$89,067,500",2024,"0.05"
"726","Chicago White Sox","1420.0","698","162","813","5.15","4.54","-0.54","-0.02","102.3","5.26","13","2.4","1.15","-2.3","13.7","147",".503",".500","$33,192,541",2024,"0.09"
"727","Cincinnati Reds","1428.0","696","162","694","4.37","4.52","-0.22","0.00","105.9","5.06","107","12.6","1.09","-1.7","24.4","243",".518",".504","$61,668,334",2024,"0.04"
"728","Cleveland Guardians","1428.0","754","161","621","3.91","4.41","0.49","-0.02","102.1","4.05","16","2.9","1.14","-0.4","16.2","152",".504",".504","$43,437,400",2024,"0.07"
"729","Colorado Rockies","1426.2","657","162","929","5.86","4.63","0.17","-0.01","110.8","5.03","-134","-12.9","1.12","-1.6","-0.9","1",".480",".497","$63,001,677",2024,"0.09"
"730","Detroit Tigers","1447.0","666","162","642","3.99","4.43","0.30","-0.02","101.2","4.26","38","5.1","1.21","-0.7","18.1","175",".508",".502","$48,985,900",2024,"0.10"
"731","Houston Astros","1432.0","672","161","649","4.08","4.43","0.08","0.01","97.3","4.31","32","4.5","1.08","-1.2","16.9","168",".507",".503","$120,329,933",2024,"0.07"
"732","Kansas City Royals","1428.0","668","162","644","4.06","4.42","0.16","0.02","105.5","4.56","74","8.8","1.05","-1.3","21.1","210",".513",".502","$70,616,900",2024,"0.04"
"733","Los Angeles Angels","1431.0","677","162","797","5.01","4.51","0.08","-0.01","103.2","4.65","-63","-5.6","1.07","-0.7","7.4","73",".492",".500","$54,891,750",2024,"0.08"
"734","Los Angeles Dodgers","1445.2","727","162","686","4.27","4.50","0.40","-0.02","93.7","3.90","-62","-5.2","1.14","-1.4","7.1","75",".493",".500","$91,187,667",2024,"0.08"
"735","Miami Marlins","1437.1","718","162","841","5.27","4.57","-0.13","-0.02","109.3","5.23","-8","0.3","1.18","-0.2","13.8","128",".500",".501","$30,049,600",2024,"0.11"
"736","Milwaukee Brewers","1446.0","681","162","641","3.99","4.47","0.40","-0.01","101.7","4.22","35","4.2","1.26","-0.5","17.4","172",".506",".502","$46,892,560",2024,"0.08"
"737","Minnesota Twins","1440.1","697","162","735","4.59","4.41","-0.06","0.00","102.7","4.69","10","1.7","1.19","-1.1","14.3","147",".502",".501","$42,564,400",2024,"0.09"
"738","New York Mets","1442.1","677","162","697","4.35","4.47","0.08","0.01","95.3","4.27","-14","-0.6","1.17","-1.9","11.2","122",".499",".500","$112,511,250",2024,"0.08"
"739","New York Yankees","1452.2","683","162","668","4.14","4.47","0.25","0.00","101.3","4.37","32","4.3","1.09","-1.1","17.1","170",".506",".502","$118,994,384",2024,"0.09"
"740","Oakland Athletics","1436.2","693","162","764","4.79","4.50","-0.38","0.00","97.5","4.85","6","1.9","1.20","-0.7","15.0","142",".503",".501","$29,475,000",2024,"0.10"
"741","Philadelphia Phillies","1442.2","679","162","671","4.19","4.47","0.02","0.02","98.4","4.48","46","6.8","1.07","-0.8","19.7","183",".510",".504","$107,409,595",2024,"0.09"
"742","Pittsburgh Pirates","1438.2","675","162","739","4.62","4.52","-0.08","0.01","101.3","4.74","17","3.2","1.17","-1.5","15.3","154",".505",".501","$54,739,000",2024,"0.09"
"743","San Diego Padres","1439.1","701","162","669","4.18","4.59","-0.09","0.01","99.0","4.69","79","8.9","1.06","-0.9","21.7","215",".513",".503","$72,878,300",2024,"0.05"
"744","Seattle Mariners","1433.0","685","162","607","3.81","4.45","0.33","0.03","91.8","3.87","5","0.9","1.14","-0.9","13.6","141",".501",".501","$50,563,300",2024,"0.07"
"745","San Francisco Giants","1433.2","726","162","699","4.39","4.58","0.01","-0.03","92.8","4.28","-20","-0.8","1.05","-1.4","11.4","116",".499",".502","$86,533,125",2024,"0.07"
"746","St. Louis Cardinals","1444.0","670","162","719","4.48","4.51","0.23","0.01","101.4","4.44","-9","-0.3","1.25","-0.6","12.8","128",".500",".501","$85,740,400",2024,"0.09"
"747","Tampa Bay Rays","1440.2","704","162","663","4.14","4.55","0.04","-0.01","99.6","4.57","63","7.2","1.32","-0.6","20.3","200",".510",".502","$54,228,267",2024,"0.09"
"748","Texas Rangers","1427.2","645","162","738","4.65","4.45","0.23","-0.01","98.1","4.19","-78","-7.1","1.23","0.3","6.8","57",".489",".500","$172,966,834",2024,"0.05"
"749","Toronto Blue Jays","1427.1","711","162","743","4.68","4.52","0.67","0.01","99.5","3.90","-129","-12.8","1.01","-0.7","0.1","6",".482",".497","$121,660,486",2024,"0.06"
"750","Washington Nationals","1434.0","730","162","764","4.79","4.52","-0.09","0.00","97.1","4.55","-41","-3.4",".97","-1.1","9.2","95",".495",".500","$66,428,567",2024,"0.08"
