"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Baltimore Orioles",".276",".349",".471",".820",".312","3.7%","19.0%","9.3%","88.9","39.8%","26.0%","42.1%",NA,NA,"-14.8",2018,"23.3%","0.74","-1.0%","-172.4"
"Boston Red Sox",".237",".309",".390",".698",".295","2.9%","25.3%","8.3%","88.8","37.8%","24.7%","42.6%",NA,NA,"12.0",2018,"24.0%","0.76","7.4%","106.0"
"Chicago Cubs",".240",".323",".376",".698",".287","2.5%","21.3%","9.9%","88.2","37.9%","25.7%","44.4%",NA,NA,"13.2",2018,"21.6%","0.83","12.0%","78.9"
"Chicago White Sox",".254",".340",".422",".761",".293","3.1%","19.9%","10.3%","88.9","39.1%","24.8%","40.8%",NA,NA,"-9.8",2018,"24.8%","0.70","-2.1%","-123.2"
"Cincinnati Reds",".266",".332",".450",".782",".303","3.6%","20.0%","8.5%","89.0","40.1%","25.1%","44.1%",NA,NA,"-7.5",2018,"22.2%","0.82","-1.2%","-114.0"
"Cleveland Indians",".242",".300",".414",".714",".299","3.3%","25.4%","6.7%","88.6","37.7%","24.7%","42.8%",NA,NA,"10.9",2018,"24.4%","0.76","4.8%","104.1"
"Colorado Rockies",".250",".319",".417",".736",".302","3.0%","22.9%","8.5%","88.7","38.4%","25.7%","45.1%",NA,NA,"3.6",2018,"21.2%","0.84","4.5%","14.4"
"Detroit Tigers",".258",".323",".439",".762",".292","3.5%","19.8%","8.0%","88.9","39.8%","25.0%","39.9%",NA,NA,"-6.1",2018,"25.5%","0.68","-0.6%","-59.1"
"Houston Astros",".217",".282",".358",".640",".284","2.6%","28.5%","7.4%","88.0","36.1%","24.9%","44.3%",NA,NA,"18.8",2018,"22.8%","0.81","11.8%","203.9"
"Kansas City Royals",".275",".342",".446",".788",".311","3.3%","18.4%","8.7%","89.5","41.1%","25.8%","42.9%",NA,NA,"-8.8",2018,"23.1%","0.77","-1.6%","-107.7"
"Los Angeles Angels",".248",".322",".415",".738",".295","3.4%","22.7%","8.9%","89.4","41.2%","26.1%","42.5%",NA,NA,"-0.6",2018,"22.7%","0.75","0.3%","0.8"
"Los Angeles Dodgers",".230",".290",".379",".669",".286","2.9%","25.7%","6.9%","87.9","36.3%","24.0%","44.8%",NA,NA,"8.2",2018,"21.8%","0.84","11.9%","98.3"
"Miami Marlins",".254",".333",".424",".757",".293","3.1%","20.0%","9.7%","89.1","40.3%","25.1%","40.6%",NA,NA,"-7.0",2018,"24.7%","0.70","-1.2%","-133.3"
"Milwaukee Brewers",".233",".309",".387",".696",".282","2.8%","23.4%","9.0%","88.1","38.0%","25.6%","42.6%",NA,NA,"7.2",2018,"21.2%","0.77","9.3%","55.5"
"Minnesota Twins",".256",".332",".423",".755",".304","3.2%","21.9%","9.1%","88.8","40.9%","25.7%","41.5%",NA,NA,"-2.3",2018,"23.7%","0.73","-0.6%","-36.4"
"New York Mets",".246",".313",".398",".711",".298","3.0%","23.4%","7.8%","87.6","35.4%","24.1%","41.7%",NA,NA,"3.3",2018,"24.2%","0.74","-1.1%","-30.5"
"New York Yankees",".237",".304",".390",".694",".302","2.9%","26.6%","8.0%","88.3","37.9%","24.6%","43.4%",NA,NA,"8.6",2018,"23.4%","0.78","4.5%","70.2"
"Oakland Athletics",".236",".301",".392",".693",".271","3.0%","20.3%","7.8%","88.4","38.7%","24.6%","43.0%",NA,NA,"12.2",2018,"23.3%","0.78","8.1%","61.3"
"Philadelphia Phillies",".249",".316",".407",".723",".306","2.8%","23.9%","8.2%","88.0","37.0%","24.2%","44.9%",NA,NA,"4.6",2018,"21.5%","0.85","3.8%","-23.5"
"Pittsburgh Pirates",".251",".319",".407",".726",".299","2.8%","21.7%","8.1%","88.9","39.1%","25.2%","43.4%",NA,NA,"2.5",2018,"23.0%","0.79","-1.3%","-9.7"
"San Diego Padres",".256",".324",".417",".742",".308","3.0%","22.4%","8.3%","88.8","39.7%","25.6%","44.0%",NA,NA,"-5.3",2018,"22.1%","0.81","-1.0%","-82.9"
"Seattle Mariners",".252",".308",".418",".726",".296","3.2%","21.9%","6.6%","89.1","40.1%","24.9%","42.6%",NA,NA,"6.7",2018,"24.6%","0.75","4.2%","5.5"
"San Francisco Giants",".251",".318",".404",".722",".297","2.5%","20.5%","8.5%","88.8","38.8%","25.6%","44.0%",NA,NA,"0.8",2018,"21.2%","0.81","0.4%","-15.8"
"St. Louis Cardinals",".246",".324",".378",".702",".297","2.3%","21.3%","9.5%","87.6","36.1%","25.8%","44.3%",NA,NA,"0.4",2018,"21.0%","0.83","-0.1%","2.3"
"Tampa Bay Rays",".230",".300",".377",".677",".279","2.7%","23.7%","8.4%","88.7","38.6%","23.8%","43.8%",NA,NA,"12.3",2018,"24.1%","0.79","1.9%","75.3"
"Texas Rangers",".271",".335",".464",".798",".301","3.6%","18.0%","7.9%","89.3","41.5%","25.5%","43.5%",NA,NA,"-6.8",2018,"23.2%","0.78","-1.0%","-89.4"
"Toronto Blue Jays",".265",".335",".446",".782",".308","3.3%","20.7%","8.8%","88.7","39.4%","23.7%","42.7%",NA,NA,"-7.2",2018,"24.5%","0.76","-1.2%","-110.2"
"Washington Nationals",".242",".311",".411",".721",".289","3.3%","23.3%","8.0%","88.1","37.5%","23.7%","41.3%",NA,NA,"2.9",2018,"24.8%","0.72","2.1%","34.7"
"League Average",".248",".318",".409",".728",".296","3.0%","22.3%","8.5%","88.7","38.8%","25.0%","43.1%",NA,NA,"",2018,"23.1%","0.78","",""
"",".248",".318",".409",".728",".296","3.0%","22.3%","8.5%","88.7","38.8%","25.0%","43.1%",NA,NA,"",2018,"23.1%","0.78","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2018,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2019,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".251",".320",".432",".752",".298","3.5%","22.9%","8.3%","89.2","41.5%","25.7%","42.8%",NA,NA,"5.8",2019,"23.3%","0.77","1.1%","36.0"
"Atlanta Braves",".256",".329",".419",".748",".305","3.3%","22.3%","8.8%","89.2","41.1%","25.2%","44.7%",NA,NA,"8.7",2019,"22.1%","0.84","4.3%","46.2"
"Baltimore Orioles",".271",".342",".497",".839",".296","4.8%","19.5%","8.8%","89.8","42.1%","25.8%","40.4%",NA,NA,"-15.6",2019,"25.6%","0.68","-0.9%","-184.9"
"Boston Red Sox",".251",".330",".431",".761",".314","3.4%","25.5%","9.5%","88.8","39.1%","24.9%","42.7%",NA,NA,"1.7",2019,"24.5%","0.76","-0.5%","0.3"
"Chicago Cubs",".251",".323",".414",".738",".303","3.2%","23.3%","8.6%","89.0","40.5%","26.0%","45.3%",NA,NA,"1.3",2019,"21.2%","0.85","1.3%","44.7"
"Chicago White Sox",".263",".337",".452",".789",".303","3.9%","21.3%","9.5%","89.2","40.7%","26.2%","42.6%",NA,NA,"-4.1",2019,"22.5%","0.76","-1.6%","-61.3"
"Cincinnati Reds",".235",".310",".410",".719",".289","3.5%","25.6%","8.9%","88.3","37.4%","24.0%","44.0%",NA,NA,"7.4",2019,"23.7%","0.81","1.5%","65.4"
"Cleveland Indians",".240",".304",".419",".723",".293","3.5%","25.1%","7.5%","89.0","40.6%","25.8%","39.8%",NA,NA,"14.4",2019,"25.5%","0.67","11.6%","148.4"
"Colorado Rockies",".277",".348",".492",".840",".311","4.2%","19.7%","9.2%","90.1","43.6%","25.8%","45.7%",NA,NA,"-7.9",2019,"21.8%","0.87","-2.5%","-135.8"
"Detroit Tigers",".275",".342",".478",".820",".319","3.9%","21.6%","8.5%","89.9","42.1%","24.5%","42.5%",NA,NA,"-12.0",2019,"24.6%","0.76","0.2%","-122.6"
"Houston Astros",".221",".283",".397",".681",".272","3.8%","27.9%","7.5%","88.5","38.5%","23.7%","43.5%",NA,NA,"19.4",2019,"25.0%","0.78","9.7%","179.3"
"Kansas City Royals",".273",".348",".456",".804",".312","3.5%","19.5%","9.2%","90.2","43.0%","25.9%","43.8%",NA,NA,"-9.5",2019,"23.4%","0.79","-1.7%","-77.7"
"Los Angeles Angels",".254",".331",".459",".789",".291","4.3%","22.3%","9.2%","89.3","40.5%","25.9%","40.5%",NA,NA,"-3.3",2019,"25.3%","0.69","-0.9%","-73.1"
"Los Angeles Dodgers",".223",".282",".379",".661",".273","3.1%","25.7%","6.6%","87.6","35.9%","24.1%","44.2%",NA,NA,"13.2",2019,"22.3%","0.82","5.4%","144.1"
"Miami Marlins",".245",".329",".435",".764",".283","3.8%","22.1%","9.8%","88.8","39.5%","24.3%","38.3%",NA,NA,"-6.5",2019,"27.0%","0.64","-0.2%","-64.7"
"Milwaukee Brewers",".246",".321",".425",".747",".296","3.6%","24.0%","9.1%","88.1","38.4%","25.2%","41.8%",NA,NA,"6.8",2019,"23.0%","0.74","4.5%","11.8"
"Minnesota Twins",".257",".316",".419",".736",".311","3.2%","23.4%","7.2%","88.6","39.0%","25.9%","41.5%",NA,NA,"9.9",2019,"23.8%","0.73","5.6%","48.1"
"New York Mets",".251",".317",".418",".735",".307","3.3%","24.4%","8.0%","87.8","37.1%","24.8%","42.8%",NA,NA,"1.4",2019,"23.8%","0.77","-1.2%","7.4"
"New York Yankees",".248",".314",".439",".754",".297","4.0%","25.0%","8.3%","88.9","40.3%","24.1%","42.5%",NA,NA,"8.5",2019,"24.7%","0.74","4.8%","46.0"
"Oakland Athletics",".242",".308",".404",".712",".279","3.3%","21.1%","7.8%","88.5","39.0%","24.2%","41.1%",NA,NA,"9.1",2019,"23.9%","0.71","5.2%","103.9"
"Philadelphia Phillies",".261",".332",".453",".785",".301","4.1%","22.2%","8.7%","88.8","39.5%","25.7%","42.7%",NA,NA,"1.7",2019,"23.3%","0.77","-0.1%","-20.3"
"Pittsburgh Pirates",".268",".343",".470",".813",".318","3.8%","22.6%","9.1%","89.0","40.5%","25.4%","41.7%",NA,NA,"-11.6",2019,"24.1%","0.74","-3.3%","-155.6"
"San Diego Padres",".251",".315",".430",".744",".303","3.5%","23.9%","7.5%","88.6","39.3%","24.6%","42.7%",NA,NA,"-0.7",2019,"24.6%","0.77","0.9%","-51.5"
"Seattle Mariners",".263",".326",".469",".795",".291","4.2%","19.8%","8.1%","89.8","41.7%","25.2%","43.6%",NA,NA,"-9.8",2019,"23.4%","0.78","-2.7%","-124.6"
"San Francisco Giants",".249",".318",".428",".746",".289","3.6%","21.9%","8.3%","89.7","41.6%","24.7%","41.6%",NA,NA,"7.2",2019,"24.5%","0.74","1.7%","-12.7"
"St. Louis Cardinals",".238",".314",".397",".711",".285","3.2%","23.1%","9.0%","88.5","38.4%","24.9%","44.9%",NA,NA,"9.5",2019,"22.0%","0.83","8.2%","88.5"
"Tampa Bay Rays",".230",".294",".386",".680",".291","3.0%","26.6%","7.4%","88.2","37.1%","24.6%","43.6%",NA,NA,"17.1",2019,"22.2%","0.79","13.4%","138.2"
"Texas Rangers",".269",".342",".464",".806",".314","3.8%","21.7%","9.2%","89.0","40.1%","25.3%","41.7%",NA,NA,"0.8",2019,"24.7%","0.73","0.4%","-47.8"
"Toronto Blue Jays",".259",".337",".451",".788",".301","3.6%","21.1%","9.6%","89.2","41.2%","25.0%","43.1%",NA,NA,"-3.8",2019,"22.9%","0.77","0.5%","-47.5"
"Washington Nationals",".244",".314",".412",".726",".298","3.3%","24.6%","8.4%","89.1","39.6%","25.2%","42.1%",NA,NA,"3.2",2019,"24.5%","0.75","1.1%","43.4"
"League Average",".252",".323",".435",".758",".298","3.6%","23.0%","8.5%","89.0","40.0%","25.1%","42.6%",NA,NA,"",2019,"23.8%","0.76","",""
"",".252",".323",".435",".758",".298","3.6%","23.0%","8.5%","89.0","40.0%","25.1%","42.6%",NA,NA,"",2019,"23.8%","0.76","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2019,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2020,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".253",".336",".462",".798",".295","4.1%","23.0%","10.3%","89.0","39.7%","30.8%","38.8%",NA,NA,"-2.7",2020,"22.5%","0.64","-1.7%","-14.1"
"Atlanta Braves",".247",".329",".408",".737",".295","3.0%","22.2%","9.7%","87.0","34.3%","27.2%","43.7%",NA,NA,"3.1",2020,"20.2%","0.80","2.0%","11.3"
"Baltimore Orioles",".246",".319",".421",".741",".283","3.5%","21.7%","8.6%","89.1","39.9%","29.0%","42.8%",NA,NA,"-1.5",2020,"20.6%","0.76","-1.3%","-5.3"
"Boston Red Sox",".281",".365",".484",".849",".334","4.1%","22.5%","10.6%","88.4","39.9%","30.0%","43.3%",NA,NA,"-5.4",2020,"20.3%","0.78","-1.8%","-57.8"
"Chicago Cubs",".233",".302",".400",".702",".279","3.4%","24.3%","8.5%","88.1","38.3%","28.8%","45.2%",NA,NA,"6.9",2020,"19.7%","0.83","3.8%","48.7"
"Chicago White Sox",".226",".309",".379",".688",".271","3.2%","23.4%","9.7%","87.7","37.9%","28.3%","44.3%",NA,NA,"3.4",2020,"19.5%","0.81","2.1%","38.3"
"Cincinnati Reds",".215",".303",".374",".677",".279","3.2%","28.9%","10.0%","87.3","36.7%","25.9%","43.7%",NA,NA,"4.3",2020,"21.5%","0.78","4.4%","42.9"
"Cleveland Indians",".223",".288",".378",".666",".287","3.1%","28.5%","7.2%","87.3","35.3%","29.4%","40.9%",NA,NA,"9.3",2020,"21.9%","0.70","5.4%","81.5"
"Colorado Rockies",".280",".353",".477",".830",".308","3.6%","16.8%","8.8%","88.9","40.9%","30.5%","44.1%",NA,NA,"0.0",2020,"18.9%","0.80","-0.3%","-46.5"
"Detroit Tigers",".265",".340",".464",".804",".299","4.2%","20.4%","8.8%","89.0","41.2%","29.5%","42.2%",NA,NA,"-3.9",2020,"21.9%","0.75","-2.9%","-52.0"
"Houston Astros",".239",".322",".407",".729",".289","3.1%","23.5%","9.7%","87.7","36.3%","29.0%","44.1%",NA,NA,"1.1",2020,"18.7%","0.80","2.3%","13.4"
"Kansas City Royals",".254",".332",".415",".747",".304","3.4%","23.2%","9.5%","88.8","40.1%","29.1%","44.2%",NA,NA,"2.1",2020,"19.1%","0.80","0.2%","9.9"
"Los Angeles Angels",".245",".316",".430",".746",".287","3.6%","23.2%","8.8%","88.2","38.5%","28.5%","39.3%",NA,NA,"-3.1",2020,"22.9%","0.66","-1.8%","-33.0"
"Los Angeles Dodgers",".213",".272",".355",".627",".253","3.0%","23.8%","6.7%","87.2","33.0%","25.6%","45.8%",NA,NA,"7.1",2020,"21.1%","0.86","3.4%","85.0"
"Miami Marlins",".261",".343",".455",".798",".298","3.7%","20.4%","10.2%","88.4","39.7%","27.1%","45.4%",NA,NA,"3.0",2020,"20.8%","0.84","2.9%","-28.3"
"Milwaukee Brewers",".229",".307",".385",".692",".297","3.1%","28.1%","8.7%","86.5","34.6%","26.2%","47.1%",NA,NA,"4.3",2020,"17.8%","0.90","3.4%","24.7"
"Minnesota Twins",".232",".301",".372",".673",".288","2.9%","25.1%","8.0%","87.2","35.5%","29.3%","40.7%",NA,NA,"6.3",2020,"19.6%","0.70","4.0%","60.5"
"New York Mets",".255",".336",".438",".774",".317","3.6%","25.4%","9.7%","87.3","37.8%","29.6%","42.6%",NA,NA,"-2.9",2020,"19.9%","0.76","-2.4%","-32.2"
"New York Yankees",".236",".305",".421",".726",".282","3.9%","24.8%","7.9%","87.8","37.5%","26.8%","43.3%",NA,NA,"0.9",2020,"21.7%","0.77","0.8%","-0.1"
"Oakland Athletics",".240",".302",".392",".693",".286","3.2%","23.4%","7.6%","88.2","37.8%","26.2%","41.0%",NA,NA,"6.5",2020,"22.5%","0.71","3.6%","41.1"
"Philadelphia Phillies",".279",".348",".468",".816",".344","3.6%","24.2%","8.4%","87.7","39.1%","30.0%","46.3%",NA,NA,"-4.5",2020,"16.5%","0.87","-4.5%","-37.9"
"Pittsburgh Pirates",".235",".332",".416",".747",".281","3.6%","24.1%","11.2%","88.0","38.3%","28.2%","43.3%",NA,NA,"-3.5",2020,"20.8%","0.78","-0.9%","-14.6"
"San Diego Padres",".234",".301",".389",".689",".290","3.2%","26.2%","7.9%","87.8","38.0%","27.5%","42.6%",NA,NA,"1.7",2020,"20.9%","0.76","0.5%","36.7"
"Seattle Mariners",".245",".333",".425",".758",".281","3.5%","20.9%","10.2%","89.1","38.9%","27.5%","40.5%",NA,NA,"-1.6",2020,"22.8%","0.68","-2.4%","-31.1"
"San Francisco Giants",".241",".322",".410",".731",".283","3.1%","21.8%","9.4%","87.5","35.6%","29.7%","38.9%",NA,NA,"-2.0",2020,"22.5%","0.65","-1.4%","-15.7"
"St. Louis Cardinals",".216",".306",".380",".686",".252","3.5%","23.3%","10.3%","88.1","38.4%","27.4%","44.7%",NA,NA,"3.3",2020,"20.7%","0.82","3.8%","26.6"
"Tampa Bay Rays",".238",".305",".391",".696",".293","3.2%","25.0%","7.6%","86.8","35.4%","27.2%","45.3%",NA,NA,"7.4",2020,"19.7%","0.85","2.6%","50.4"
"Texas Rangers",".242",".329",".419",".749",".279","3.6%","21.5%","10.4%","88.0","39.0%","27.6%","40.6%",NA,NA,"-3.6",2020,"22.8%","0.70","-1.4%","-36.0"
"Toronto Blue Jays",".255",".339",".436",".775",".303","3.5%","22.5%","10.8%","87.7","37.1%","27.3%","43.1%",NA,NA,"1.0",2020,"20.4%","0.77","1.0%","-23.6"
"Washington Nationals",".271",".346",".466",".812",".317","4.1%","22.4%","9.5%","88.8","39.4%","30.5%","38.4%",NA,NA,"-0.3",2020,"22.9%","0.63","-0.6%","-22.8"
"League Average",".245",".322",".418",".740",".292","3.5%","23.4%","9.2%","88.0","37.8%","28.4%","42.8%",NA,NA,"",2020,"20.7%","0.76","",""
"",".245",".322",".418",".740",".292","3.5%","23.4%","9.2%","88.0","37.8%","28.4%","42.8%",NA,NA,"",2020,"20.7%","0.76","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2020,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2021,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".267",".339",".468",".807",".303","3.7%","19.7%","8.9%","88.2","39.6%","24.2%","39.8%",NA,NA,"-18.5",2021,"27.4%","0.68","-2.1%","-162.5"
"Atlanta Braves",".234",".308",".392",".700",".283","3.1%","23.8%","8.7%","87.8","38.7%","24.1%","43.3%",NA,NA,"7.3",2021,"24.5%","0.79","5.6%","85.9"
"Baltimore Orioles",".273",".344",".473",".817",".306","4.1%","19.7%","9.0%","89.5","41.4%","24.5%","39.8%",NA,NA,"-16.9",2021,"27.0%","0.67","-0.2%","-217.5"
"Boston Red Sox",".258",".332",".417",".749",".324","2.9%","24.8%","8.9%","88.1","39.6%","23.4%","44.2%",NA,NA,"4.7",2021,"24.3%","0.80","3.9%","27.1"
"Chicago Cubs",".255",".338",".442",".780",".297","3.8%","21.9%","9.6%","87.7","39.4%","24.0%","44.5%",NA,NA,"-6.2",2021,"24.2%","0.83","2.6%","-110.8"
"Chicago White Sox",".229",".298",".381",".679",".289","3.1%","27.1%","8.3%","88.3","38.8%","23.1%","41.1%",NA,NA,"8.1",2021,"26.7%","0.71","4.8%","107.0"
"Cincinnati Reds",".244",".327",".417",".744",".300","3.3%","24.6%","10.0%","87.0","37.4%","23.1%","43.8%",NA,NA,"6.4",2021,"24.5%","0.80","3.1%","22.3"
"Cleveland Indians",".240",".313",".417",".730",".283","3.6%","23.3%","8.8%","88.8","40.6%","24.2%","42.5%",NA,NA,"3.2",2021,"26.0%","0.75","1.1%","12.7"
"Colorado Rockies",".260",".332",".435",".767",".304","3.2%","21.0%","8.9%","88.0","38.1%","24.0%","44.3%",NA,NA,"-2.6",2021,"24.7%","0.82","-1.8%","-23.3"
"Detroit Tigers",".252",".329",".419",".748",".290","3.2%","20.4%","9.3%","89.1","40.9%","22.6%","44.4%",NA,NA,"3.0",2021,"25.5%","0.81","-0.5%","-13.5"
"Houston Astros",".228",".306",".382",".688",".276","3.1%","24.0%","9.1%","88.3","38.0%","22.6%","44.7%",NA,NA,"9.5",2021,"25.1%","0.82","8.1%","109.1"
"Kansas City Royals",".254",".332",".415",".747",".302","3.1%","21.9%","9.7%","89.2","40.9%","24.8%","42.5%",NA,NA,"-3.2",2021,"25.4%","0.75","-1.2%","-34.8"
"Los Angeles Angels",".251",".330",".410",".740",".306","3.0%","23.5%","9.6%","87.6","38.2%","23.8%","44.4%",NA,NA,"0.5",2021,"24.7%","0.81","-0.9%","-46.7"
"Los Angeles Dodgers",".207",".280",".344",".624",".263","2.7%","26.9%","8.2%","86.3","34.8%","21.6%","43.9%",NA,NA,"22.6",2021,"25.2%","0.81","15.2%","210.8"
"Miami Marlins",".241",".317",".401",".718",".292","2.7%","22.9%","8.8%","87.4","37.9%","23.5%","44.1%",NA,NA,"0.8",2021,"24.7%","0.81","0.9%","25.0"
"Milwaukee Brewers",".218",".298",".358",".655",".278","2.8%","27.0%","9.0%","86.8","36.2%","23.2%","44.2%",NA,NA,"15.6",2021,"24.8%","0.82","10.8%","122.2"
"Minnesota Twins",".255",".320",".449",".769",".292","3.9%","21.7%","8.0%","89.0","42.0%","23.6%","40.7%",NA,NA,"-3.0",2021,"27.9%","0.70","-1.5%","-85.2"
"New York Mets",".236",".307",".400",".707",".289","3.3%","25.1%","8.2%","87.8","38.7%","24.3%","42.1%",NA,NA,"5.6",2021,"25.6%","0.75","4.0%","34.3"
"New York Yankees",".231",".299",".389",".688",".286","3.3%","26.2%","8.2%","87.4","36.7%","22.6%","41.9%",NA,NA,"9.7",2021,"26.8%","0.73","8.4%","93.0"
"Oakland Athletics",".247",".309",".403",".711",".292","3.2%","22.0%","7.2%","88.3","38.2%","24.5%","40.0%",NA,NA,"2.7",2021,"26.6%","0.68","2.1%","48.6"
"Philadelphia Phillies",".244",".316",".414",".730",".298","3.3%","24.4%","8.4%","87.0","37.0%","22.4%","45.3%",NA,NA,"-0.8",2021,"23.8%","0.85","0.8%","-16.8"
"Pittsburgh Pirates",".260",".341",".446",".787",".304","3.5%","21.4%","9.9%","88.1","38.4%","24.4%","40.8%",NA,NA,"-9.8",2021,"26.6%","0.70","-0.1%","-116.0"
"San Diego Padres",".237",".312",".410",".722",".290","3.4%","25.1%","8.5%","88.1","39.2%","22.8%","42.7%",NA,NA,"2.1",2021,"26.7%","0.77","3.1%","10.9"
"Seattle Mariners",".247",".314",".417",".730",".289","3.2%","21.8%","7.9%","89.0","39.8%","23.8%","40.7%",NA,NA,"7.7",2021,"27.3%","0.70","1.9%","-1.5"
"San Francisco Giants",".230",".291",".368",".658",".282","2.5%","23.7%","6.9%","87.7","38.9%","23.3%","45.1%",NA,NA,"18.3",2021,"24.1%","0.85","13.4%","158.2"
"St. Louis Cardinals",".234",".320",".374",".695",".274","2.5%","20.3%","10.1%","87.9","37.7%","23.9%","43.8%",NA,NA,"8.6",2021,"24.7%","0.80","4.5%","40.5"
"Tampa Bay Rays",".232",".294",".386",".680",".282","3.1%","24.6%","7.3%","87.9","37.4%","24.0%","41.4%",NA,NA,"11.8",2021,"26.1%","0.72","8.5%","102.1"
"Texas Rangers",".256",".325",".436",".761",".290","3.8%","20.3%","8.4%","88.6","39.3%","24.3%","42.2%",NA,NA,"-3.9",2021,"25.8%","0.74","0.0%","-60.6"
"Toronto Blue Jays",".236",".305",".407",".712",".284","3.5%","24.8%","8.0%","88.6","39.5%","23.2%","43.0%",NA,NA,"6.9",2021,"25.6%","0.76","3.2%","92.5"
"Washington Nationals",".254",".329",".447",".776",".293","4.1%","22.2%","9.0%","87.9","39.8%","23.0%","40.6%",NA,NA,"-14.0",2021,"27.5%","0.71","-2.2%","-119.8"
"League Average",".244",".317",".411",".728",".292","3.3%","23.2%","8.7%","88.1","38.8%","23.6%","42.7%",NA,NA,"",2021,"25.7%","0.76","",""
"",".244",".317",".411",".728",".292","3.3%","23.2%","8.7%","88.1","38.8%","23.6%","42.7%",NA,NA,"",2021,"25.7%","0.76","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2021,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2022,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".247",".315",".414",".729",".283","3.2%","20.1%","8.3%","88.1","38.6%","24.5%","39.6%",NA,NA,"-4.8",2022,"28.3%","0.67","-1.3%","-32.9"
"Atlanta Braves",".226",".297",".354",".651",".286","2.5%","25.8%","8.3%","87.7","37.2%","23.7%","43.3%",NA,NA,"14.3",2022,"25.2%","0.78","10.1%","126.7"
"Baltimore Orioles",".256",".317",".407",".724",".297","2.8%","20.0%","7.3%","88.4","39.1%","24.5%","42.9%",NA,NA,"3.7",2022,"25.1%","0.76","1.1%","2.1"
"Boston Red Sox",".256",".326",".419",".745",".304","3.0%","21.8%","8.5%","88.8","40.5%","24.3%","42.7%",NA,NA,"0.2",2022,"24.6%","0.75","0.2%","-70.7"
"Chicago Cubs",".244",".318",".414",".731",".287","3.4%","22.4%","8.8%","87.9","38.3%","23.7%","43.2%",NA,NA,"5.5",2022,"25.6%","0.77","-0.3%","6.3"
"Chicago White Sox",".242",".312",".387",".699",".296","2.7%","23.6%","8.7%","88.2","38.1%","23.8%","41.3%",NA,NA,"2.2",2022,"26.9%","0.71","0.2%","-9.6"
"Cincinnati Reds",".251",".336",".429",".766",".299","3.4%","22.7%","9.8%","88.3","38.9%","23.4%","40.6%",NA,NA,"-5.2",2022,"27.1%","0.69","-1.3%","-82.9"
"Cleveland Guardians",".230",".292",".373",".665",".275","2.9%","23.2%","7.3%","88.5","39.8%","24.0%","42.2%",NA,NA,"10.3",2022,"25.7%","0.74","4.1%","69.7"
"Colorado Rockies",".272",".340",".446",".786",".313","3.0%","19.0%","8.6%","89.1","42.1%","25.2%","43.9%",NA,NA,"-6.2",2022,"25.0%","0.79","-2.0%","-124.5"
"Detroit Tigers",".247",".316",".393",".709",".285","2.8%","19.8%","8.5%","88.9","40.3%","23.5%","41.4%",NA,NA,"-4.4",2022,"27.1%","0.72","-1.0%","-39.7"
"Houston Astros",".212",".281",".332",".613",".269","2.3%","26.0%","7.8%","87.9","37.2%","22.9%","42.3%",NA,NA,"19.9",2022,"25.9%","0.74","6.8%","171.6"
"Kansas City Royals",".271",".346",".425",".770",".314","2.8%","19.1%","9.4%","88.8","41.4%","25.4%","43.4%",NA,NA,"-7.6",2022,"24.2%","0.78","-0.9%","-121.8"
"Los Angeles Angels",".230",".306",".379",".684",".277","2.8%","22.9%","8.9%","88.0","37.2%","23.6%","42.0%",NA,NA,"3.5",2022,"26.4%","0.74","-1.4%","33.0"
"Los Angeles Dodgers",".209",".273",".344",".617",".256","2.6%","25.0%","6.9%","86.8","34.5%","21.8%","42.2%",NA,NA,"17.9",2022,"26.4%","0.75","6.1%","219.6"
