"...1","Batting...2","Batting...3","Batting...4","Batting...5","Batting Ratios...6","Batting Ratios...7","Batting Ratios...8","Batted Ball...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Batted Ball...14","Batted Ball...15","Win Probability...16","Win Probability...17","Win Probability...18","Baserunning...19","Baserunning...20","Baserunning...21","Year","Batted Ball...16","Batted Ball...17","Win Probability...19","Win Probability...20","Baserunning...22","Baserunning...23"
"Montreal Expos",".329","82",".290",".143","2.4%","16.2%","8.5%","17.8%","49.4%","22.9%","1.03","26.9%","51.6%","21.5%","-3.4","-2.1%","-47.2","30%","72%","40%",2003,NA,NA,NA,NA,NA,NA
"New York Mets",".315","80",".282",".128","2.1%","17.2%","8.1%","17.0%","46.4%","25.9%","0.93","29.0%","49.3%","21.6%","-10.5","-1.0%","-86.3","29%","69%","41%",2003,NA,NA,NA,NA,NA,NA
"New York Yankees",".362","117",".295",".182","3.6%","16.2%","10.6%","18.0%","44.8%","28.6%","0.83","30.9%","50.4%","18.7%","9.4","6.0%","108.7","31%","75%","43%",2003,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".332","95",".273",".162","2.8%","14.5%","9.0%","19.6%","42.9%","27.9%","0.76","29.8%","50.1%","20.1%","0.6","0.8%","-1.4","32%","77%","46%",2003,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".342","104",".301",".158","2.6%","18.2%","10.3%","22.1%","44.2%","25.0%","0.82","28.2%","50.2%","21.6%","2.5","3.0%","74.1","31%","71%","37%",2003,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".343","95",".302",".153","2.6%","16.6%","8.4%","17.3%","44.2%","27.1%","0.84","28.9%","51.4%","19.7%","-2.8","-2.7%","-0.5","30%","70%","39%",2003,NA,NA,NA,NA,NA,NA
"San Diego Padres",".327","97",".301",".127","2.1%","17.2%","9.1%","19.3%","45.7%","26.0%","0.88","27.4%","49.9%","22.7%","-3.6","-0.9%","-42.0","28%","66%","39%",2003,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".339","105",".306",".139","2.2%","15.8%","9.3%","18.9%","45.1%","28.1%","0.85","25.7%","50.9%","23.4%","2.3","-1.0%","36.6","32%","74%","39%",2003,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".341","98",".291",".161","2.9%","15.8%","9.6%","19.2%","42.3%","26.4%","0.78","30.3%","51.0%","18.8%","6.1","3.2%","23.0","30%","59%","37%",2003,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".358","112",".302",".175","3.0%","14.7%","9.0%","20.4%","42.1%","26.7%","0.77","29.3%","49.5%","21.2%","8.8","3.7%","128.5","33%","72%","41%",2003,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".324","93",".301",".139","2.2%","16.6%","6.8%","15.4%","46.2%","27.6%","0.90","29.5%","50.3%","20.3%","-8.6","-0.7%","-55.0","31%","77%","40%",2003,NA,NA,NA,NA,NA,NA
"Texas Rangers",".348","96",".287",".188","3.8%","16.7%","7.8%","19.5%","39.4%","29.5%","0.66","32.7%","48.7%","18.6%","-2.0","-0.4%","6.8","31%","72%","42%",2003,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".355","108",".313",".175","3.0%","17.0%","8.6%","20.6%","42.1%","30.2%","0.73","28.3%","49.1%","22.6%","8.5","3.0%","105.4","34%","60%","41%",2003,NA,NA,NA,NA,NA,NA
"League Average",".338","97",".294",".158","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","29.7%","49.8%","20.4%","-1","0%","2","31%","69%","41%",2003,NA,NA,NA,NA,NA,NA
"",".338","97",".294",".158","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","29.7%","49.8%","20.4%","-43.8","3.1%","74.5","31%","69%","41%",2003,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2003,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2004,NA,NA,NA,NA,NA,NA
"Anaheim Angels",".346","103",".312",".147","2.6%","15.0%","7.2%","18.9%","43.9%","27.2%","0.82","27.6%","54.1%","18.3%","2.2","3.8%","41.1","34%","76%","40%",2004,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".311","71",".286",".140","2.2%","16.7%","7.2%","18.4%","44.4%","26.6%","0.84","25.8%","54.5%","19.8%","-16.6","-1.0%","-164.8","27%","62%","42%",2004,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".347","99",".309",".164","2.8%","18.3%","9.3%","17.7%","45.0%","27.3%","0.87","27.7%","51.5%","20.8%","6.1","2.0%","53.2","31%","73%","38%",2004,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".349","105",".309",".150","2.6%","14.8%","8.2%","19.0%","42.6%","28.5%","0.77","33.9%","47.3%","18.8%","-4.1","-1.4%","35.5","32%","71%","41%",2004,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".368","111",".319",".190","3.4%","18.3%","10.1%","18.2%","40.8%","31.4%","0.70","32.4%","51.0%","16.6%","8.6","8.5%","127.1","33%","69%","34%",2004,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".348","99",".292",".190","3.7%","17.2%","7.8%","17.9%","41.9%","29.3%","0.76","29.1%","52.8%","18.1%","-1.3","-6.6%","25.5","31%","70%","41%",2004,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".350","102",".288",".189","3.9%","16.6%","8.1%","18.1%","40.3%","28.2%","0.71","27.2%","54.1%","18.7%","6.1","1.1%","64.3","34%","60%","45%",2004,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".335","95",".295",".168","3.1%","21.3%","9.5%","20.7%","43.9%","26.1%","0.82","26.4%","55.0%","18.6%","5.8","5.1%","10.0","29%","75%","38%",2004,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".354","113",".305",".168","2.9%","15.6%","9.4%","17.2%","43.7%","29.2%","0.80","28.4%","53.8%","17.7%","4.1","1.2%","65.7","32%","63%","43%",2004,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".353","94",".314",".180","3.2%","18.7%","9.0%","18.8%","43.3%","26.8%","0.82","25.6%","54.4%","19.9%","2.0","0.5%","40.1","32%","57%","51%",2004,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".346","108",".308",".177","3.2%","18.2%","8.2%","19.1%","41.7%","28.6%","0.75","30.4%","52.2%","17.4%","-2.2","-1.3%","40.7","33%","63%","44%",2004,NA,NA,NA,NA,NA,NA
"Florida Marlins",".331","95",".295",".143","2.4%","15.7%","8.1%","17.9%","44.0%","26.2%","0.84","25.8%","53.4%","20.8%","0.7","0.3%","-13.4","30%","69%","42%",2004,NA,NA,NA,NA,NA,NA
"Houston Astros",".348","100",".293",".170","3.0%","15.9%","9.4%","18.0%","41.4%","29.0%","0.75","27.3%","53.4%","19.4%","4.8","3.3%","55.8","32%","75%","39%",2004,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".324","86",".293",".139","2.4%","17.2%","7.5%","18.3%","44.9%","26.6%","0.84","28.0%","53.8%","18.2%","-10.4","-0.2%","-84.4","31%","58%","41%",2004,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".339","100",".291",".161","3.3%","17.5%","8.6%","18.1%","44.6%","26.3%","0.85","26.7%","53.9%","19.4%","4.8","4.3%","23.5","30%","71%","42%",2004,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".321","81",".300",".139","2.2%","21.2%","8.7%","21.1%","44.6%","24.6%","0.85","26.9%","53.4%","19.7%","-13.2","-4.1%","-119.1","27%","78%","36%",2004,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".339","93",".290",".166","3.0%","15.6%","8.2%","15.5%","45.7%","29.4%","0.87","29.4%","52.7%","17.9%","-3.1","-2.8%","-41.8","31%","72%","42%",2004,NA,NA,NA,NA,NA,NA
"Montreal Expos",".316","74",".273",".143","2.5%","15.1%","8.1%","18.0%","44.7%","25.5%","0.86","27.9%","53.2%","18.9%","-14.1","-3.8%","-140.0","28%","74%","41%",2004,NA,NA,NA,NA,NA,NA
"New York Mets",".326","86",".282",".160","3.0%","18.7%","8.3%","16.8%","42.4%","29.8%","0.77","26.3%","53.7%","20.0%","-11.5","-4.0%","-70.5","28%","82%","36%",2004,NA,NA,NA,NA,NA,NA
"New York Yankees",".363","115",".285",".189","3.8%","15.4%","10.5%","17.6%","45.0%","28.6%","0.84","29.3%","54.5%","16.3%","13.4","6.0%","107.3","32%","72%","40%",2004,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".347","103",".300",".163","2.9%","16.4%","9.4%","20.3%","41.1%","28.1%","0.71","29.5%","52.3%","18.1%","0.6","-2.0%","-16.4","30%","68%","37%",2004,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".352","99",".297",".176","3.3%","17.6%","10.0%","20.0%","41.7%","28.1%","0.75","28.2%","52.7%","19.2%","5.1","-0.6%","60.4","31%","79%","40%",2004,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".323","85",".298",".141","2.3%","17.4%","6.8%","17.0%","48.1%","25.3%","0.98","27.2%","54.0%","18.8%","-7.0","-1.5%","-66.4","30%","61%","37%",2004,NA,NA,NA,NA,NA,NA
"San Diego Padres",".338","106",".301",".141","2.2%","14.4%","9.0%","19.0%","43.3%","28.3%","0.79","26.6%","53.2%","20.1%","4.3","1.9%","52.1","31%","68%","41%",2004,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".328","91",".308",".127","2.1%","16.6%","7.7%","17.4%","46.8%","26.1%","0.91","24.5%","55.7%","19.8%","-15.4","-3.4%","-111.4","28%","72%","37%",2004,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".349","104",".290",".168","2.8%","13.5%","10.9%","19.6%","43.1%","25.7%","0.80","28.6%","54.8%","16.6%","12.3","13.2%","96.5","31%","65%","37%",2004,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".355","108",".307",".182","3.4%","17.2%","8.7%","20.1%","42.2%","27.9%","0.77","26.3%","53.4%","20.3%","11.3","5.2%","118.5","33%","70%","45%",2004,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".326","90",".286",".147","2.4%","15.5%","7.7%","17.5%","44.1%","28.2%","0.81","29.1%","53.5%","17.3%","-6.5","-2.9%","-68.8","31%","76%","38%",2004,NA,NA,NA,NA,NA,NA
"Texas Rangers",".346","94",".291",".191","3.6%","17.6%","8.0%","20.7%","38.5%","31.1%","0.64","28.3%","52.3%","19.4%","2.9","0.7%","36.4","34%","66%","44%",2004,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".332","87",".298",".143","2.4%","17.5%","8.3%","18.7%","45.8%","26.8%","0.86","26.7%","53.0%","20.3%","-11.5","-2.3%","-92.8","30%","65%","39%",2004,NA,NA,NA,NA,NA,NA
"League Average",".341","97",".297",".162","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","27.9%","53.2%","18.8%","-1","1%","2","31%","70%","40%",2004,NA,NA,NA,NA,NA,NA
"",".341","97",".297",".162","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","27.9%","53.2%","18.8%","-21.7","19.4%","63.8","31%","70%","40%",2004,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2004,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2005,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".337","92",".285",".165","3.0%","17.3%","9.6%","17.1%","44.6%","27.9%","0.85","30.3%","52.2%","17.5%","-4.6","-2.5%","-51.9","26%","72%","38%",2005,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".344","98",".298",".170","3.0%","17.5%","8.6%","17.0%","43.5%","29.5%","0.82","26.9%","52.4%","20.7%","7.2","5.6%","40.9","31%","74%","41%",2005,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".338","102",".289",".165","3.1%","14.7%","7.3%","19.3%","42.3%","27.5%","0.76","34.2%","45.7%","20.1%","-2.9","0.1%","-23.1","29%","69%","39%",2005,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".362","114",".310",".174","3.1%","16.3%","10.2%","18.4%","41.6%","31.6%","0.72","29.7%","51.7%","18.5%","16.6","16.6%","154.3","33%","79%","31%",2005,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".340","94",".291",".170","3.2%","14.9%","6.8%","17.8%","43.5%","26.9%","0.82","29.4%","51.3%","19.3%","-3.9","-1.3%","-38.9","28%","63%","40%",2005,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".331","93",".286",".163","3.3%","16.3%","7.1%","16.7%","43.0%","27.5%","0.79","28.9%","51.6%","19.5%","0.5","3.6%","-36.1","30%","67%","45%",2005,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".350","104",".302",".185","3.5%","20.6%","9.7%","20.6%","43.4%","27.1%","0.80","26.9%","55.0%","18.1%","5.5","-0.3%","88.3","31%","76%","40%",2005,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".348","113",".302",".181","3.3%","17.5%","8.0%","17.8%","44.3%","28.9%","0.82","29.5%","54.5%","16.0%","1.1","-1.5%","50.0","31%","63%","42%",2005,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".339","86",".307",".144","2.4%","17.7%","8.2%","20.1%","43.1%","25.8%","0.80","24.9%","54.1%","20.9%","-5.5","-0.3%","-22.8","31%","67%","43%",2005,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".332","99",".304",".157","2.7%","16.9%","6.3%","18.2%","44.0%","27.9%","0.82","27.3%","52.8%","20.0%","-6.3","-1.3%","-25.3","31%","70%","36%",2005,NA,NA,NA,NA,NA,NA
"Florida Marlins",".335","100",".304",".137","2.1%","14.8%","8.2%","19.2%","42.8%","25.8%","0.80","26.4%","53.8%","19.8%","-1.1","-2.9%","8.7","30%","72%","36%",2005,NA,NA,NA,NA,NA,NA
"Houston Astros",".330","88",".288",".152","2.6%","16.9%","7.8%","15.3%","42.9%","28.7%","0.80","29.2%","52.8%","18.0%","-7.5","-2.2%","-37.1","29%","72%","36%",2005,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".320","90",".298",".134","2.1%","16.6%","7.0%","18.2%","44.1%","27.5%","0.82","25.4%","54.7%","19.9%","-7.5","-1.5%","-52.1","31%","62%","42%",2005,NA,NA,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".329","96",".294",".139","2.4%","13.7%","7.2%","16.8%","42.2%","30.5%","0.76","27.4%","53.8%","18.8%","1.3","0.9%","7.9","33%","74%","43%",2005,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".326","90",".290",".142","2.4%","17.8%","8.8%","19.1%","43.1%","27.2%","0.79","27.9%","53.7%","18.5%","-4.2","-1.0%","-39.8","29%","62%","35%",2005,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".338","96",".298",".163","2.8%","18.9%","8.6%","20.1%","42.4%","27.4%","0.77","26.1%","53.5%","20.4%","-1.1","-2.3%","-2.2","30%","70%","41%",2005,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".320","86",".291",".132","2.2%","15.8%","7.8%","16.3%","49.1%","25.4%","1.01","24.7%","54.6%","20.7%","-8.1","-5.0%","-81.5","29%","70%","35%",2005,NA,NA,NA,NA,NA,NA
"New York Mets",".335","95",".290",".158","2.9%","17.5%","7.9%","16.6%","44.3%","28.3%","0.84","26.4%","55.7%","18.0%","-0.8","-2.3%","8.6","31%","79%","41%",2005,NA,NA,NA,NA,NA,NA
"New York Yankees",".361","119",".297",".174","3.6%","15.4%","9.9%","16.5%","46.4%","28.4%","0.89","30.2%","53.5%","16.3%","15.0","16.2%","150.9","31%","76%","41%",2005,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".332","97",".281",".145","2.5%","13.1%","8.6%","18.7%","42.8%","29.1%","0.76","28.1%","53.0%","18.9%","-1.3","-4.7%","15.5","32%","58%","44%",2005,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".348","96",".306",".154","2.6%","17.1%","10.1%","20.9%","40.7%","27.5%","0.72","28.4%","53.7%","17.9%","2.0","0.8%","70.8","31%","81%","37%",2005,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".330","91",".297",".141","2.2%","17.6%","7.6%","17.8%","44.9%","28.1%","0.85","28.0%","54.4%","17.5%","-9.1","-3.1%","-50.7","29%","71%","37%",2005,NA,NA,NA,NA,NA,NA
"San Diego Padres",".329","99",".289",".134","2.1%","15.6%","9.6%","19.3%","41.3%","27.7%","0.74","29.4%","51.8%","18.8%","-2.2","0.5%","-20.5","28%","69%","37%",2005,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".318","92",".289",".136","2.1%","16.2%","7.7%","18.5%","45.0%","26.7%","0.85","24.8%","55.5%","19.7%","-6.7","-1.4%","-37.1","31%","68%","41%",2005,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".323","84",".290",".135","2.1%","14.8%","7.1%","18.9%","42.9%","26.7%","0.80","28.6%","54.8%","16.7%","-5.0","-0.2%","-87.2","29%","67%","40%",2005,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".344","99",".297",".153","2.7%","15.2%","8.6%","19.5%","44.7%","26.0%","0.85","27.6%","52.4%","19.9%","6.6","2.5%","75.2","33%","70%","41%",2005,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".335","100",".306",".151","2.6%","16.2%","6.7%","18.5%","43.1%","28.5%","0.79","28.5%","52.5%","19.0%","0.8","-0.5%","4.1","32%","76%","44%",2005,NA,NA,NA,NA,NA,NA
"Texas Rangers",".352","105",".290",".201","4.1%","17.7%","7.9%","19.5%","39.8%","31.1%","0.67","29.1%","52.6%","18.3%","4.4","1.8%","90.2","33%","82%","41%",2005,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".331","94",".296",".142","2.2%","15.3%","7.8%","19.3%","44.9%","26.4%","0.83","28.3%","52.5%","19.2%","-5.7","-3.8%","6.0","33%","67%","39%",2005,NA,NA,NA,NA,NA,NA
"Washington Nationals",".317","87",".293",".134","1.9%","17.8%","8.0%","18.9%","44.5%","25.6%","0.85","25.5%","55.2%","19.3%","-9.2","-9.9%","-81.9","28%","50%","42%",2005,NA,NA,NA,NA,NA,NA
"League Average",".336","97",".295",".154","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","28.0%","53.2%","18.9%","-1","0%","3","30%","71%","40%",2005,NA,NA,NA,NA,NA,NA
"",".336","97",".295",".154","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","28.0%","53.2%","18.9%","-31.6","0.5%","83.1","30%","71%","40%",2005,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2005,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2006,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".337","87",".294",".157","2.5%","15.2%","8.0%","18.1%","43.3%","27.9%","0.79","27.1%","54.7%","18.2%","-8.1","-5.5%","-37.4","32%","72%","41%",2006,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".349","101",".304",".184","3.5%","18.6%","8.4%","19.0%","42.3%","29.5%","0.77","26.7%","52.7%","20.7%","3.8","0.0%","73.5","33%","60%","42%",2006,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".344","99",".302",".146","2.6%","14.1%","7.6%","19.3%","44.0%","27.0%","0.82","32.0%","47.0%","21.0%","-2.4","-0.1%","-16.4","30%","79%","37%",2006,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".351","99",".298",".166","3.0%","16.4%","10.4%","19.4%","39.8%","30.7%","0.68","32.1%","50.2%","17.6%","4.3","5.0%","10.7","30%","69%","35%",2006,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".332","86",".294",".154","2.7%","15.1%","6.4%","17.7%","46.2%","25.4%","0.92","24.6%","56.4%","19.0%","-8.1","-2.2%","-77.9","31%","71%","41%",2006,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".356","104",".305",".184","3.7%","16.7%","8.0%","17.7%","41.7%","30.5%","0.74","27.7%","53.6%","18.7%","5.8","2.6%","61.3","32%","66%","34%",2006,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".340","90",".290",".175","3.5%","18.9%","9.8%","19.9%","42.6%","26.9%","0.78","27.7%","54.7%","17.6%","-0.1","-1.8%","-46.5","28%","79%","40%",2006,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".355","108",".324",".177","3.1%","19.1%","8.8%","19.7%","41.9%","30.0%","0.74","27.1%","54.0%","19.0%","4.0","1.2%","88.9","34%","71%","38%",2006,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".343","88",".310",".163","2.5%","17.5%","8.8%","20.1%","42.2%","27.5%","0.78","25.6%","53.5%","20.8%","-6.3","-8.6%","-2.5","33%","63%","43%",2006,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".345","100",".310",".174","3.3%","18.3%","6.9%","18.2%","42.1%","30.6%","0.75","27.4%","52.2%","20.4%","0.6","2.1%","30.6","33%","60%","44%",2006,NA,NA,NA,NA,NA,NA
"Florida Marlins",".338","99",".309",".171","2.9%","20.2%","8.0%","17.9%","42.9%","28.2%","0.80","27.8%","52.6%","19.6%","1.3","-0.2%","3.9","31%","65%","41%",2006,NA,NA,NA,NA,NA,NA
"Houston Astros",".329","87",".286",".154","2.8%","17.0%","9.3%","16.2%","42.3%","29.3%","0.78","26.8%","53.8%","19.4%","-7.2","-7.7%","-59.3","29%","69%","44%",2006,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".331","89",".311",".140","2.0%","16.7%","7.6%","18.6%","47.1%","25.0%","0.93","24.8%","55.0%","20.2%","-2.2","-1.1%","-44.7","32%","66%","42%",2006,NA,NA,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".337","93",".301",".150","2.6%","14.7%","7.8%","17.4%","43.8%","29.9%","0.80","27.9%","54.1%","18.0%","-3.0","-3.0%","-29.0","31%","72%","49%",2006,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".348","99",".307",".157","2.4%","15.0%","9.4%","18.4%","43.9%","28.3%","0.82","27.3%","54.1%","18.5%","0.2","2.1%","32.1","32%","72%","39%",2006,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".332","89",".300",".162","2.9%","20.1%","8.2%","19.7%","42.2%","27.9%","0.76","25.9%","54.9%","19.2%","-1.4","-0.7%","-43.3","30%","66%","43%",2006,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".344","101",".316",".138","2.3%","14.0%","7.9%","18.8%","46.8%","25.9%","0.91","24.8%","55.0%","20.3%","2.6","1.6%","21.3","32%","71%","41%",2006,NA,NA,NA,NA,NA,NA
"New York Mets",".346","99",".293",".181","3.2%","17.0%","8.7%","17.6%","42.5%","28.8%","0.78","27.1%","54.2%","18.7%","7.7","2.7%","63.3","34%","81%","41%",2006,NA,NA,NA,NA,NA,NA
"New York Yankees",".368","113",".315",".177","3.3%","16.3%","10.1%","18.5%","45.4%","27.6%","0.85","27.4%","53.7%","18.9%","12.5","10.0%","140.1","33%","80%","37%",2006,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".339","98",".285",".152","2.8%","15.5%","10.4%","19.3%","42.8%","28.3%","0.76","26.7%","54.2%","19.1%","2.7","1.2%","-10.2","30%","75%","35%",2006,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".353","99",".302",".180","3.3%","18.5%","9.6%","19.2%","42.7%","28.2%","0.77","30.5%","51.8%","17.7%","4.1","2.7%","65.7","31%","79%","43%",2006,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".325","86",".310",".134","2.3%","19.3%","7.4%","19.4%","43.7%","26.9%","0.81","26.6%","54.5%","18.9%","-12.7","-1.6%","-84.4","29%","75%","37%",2006,NA,NA,NA,NA,NA,NA
"San Diego Padres",".336","100",".299",".154","2.6%","17.6%","9.0%","18.4%","41.5%","30.4%","0.74","27.4%","52.4%","20.2%","-2.1","-1.3%","-23.3","29%","80%","41%",2006,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".336","96",".300",".153","2.8%","15.7%","6.5%","18.3%","44.9%","26.9%","0.84","28.5%","53.0%","18.5%","-6.5","-4.9%","-30.3","32%","74%","40%",2006,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".330","88",".282",".163","2.7%","14.5%","8.1%","17.2%","42.8%","28.3%","0.78","29.7%","55.9%","14.4%","-2.8","-1.7%","-26.6","31%","70%","35%",2006,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".339","96",".292",".163","3.0%","14.8%","8.5%","20.0%","44.0%","25.7%","0.82","28.9%","53.3%","17.8%","1.6","3.8%","11.9","31%","65%","43%",2006,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".325","86",".285",".165","3.2%","18.3%","7.3%","17.4%","43.1%","28.6%","0.79","29.1%","52.8%","18.1%","-11.9","-0.6%","-99.5","29%","72%","40%",2006,NA,NA,NA,NA,NA,NA
"Texas Rangers",".348","101",".311",".168","2.9%","16.9%","8.1%","18.9%","42.7%","28.8%","0.76","28.6%","52.3%","19.0%","1.0","2.1%","40.5","33%","69%","38%",2006,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".356","108",".306",".179","3.2%","14.5%","8.2%","19.9%","42.4%","29.4%","0.75","25.8%","55.9%","18.3%","2.9","2.3%","23.1","31%","66%","39%",2006,NA,NA,NA,NA,NA,NA
"Washington Nationals",".334","98",".301",".156","2.6%","18.4%","9.5%","20.1%","42.2%","27.1%","0.77","26.6%","53.3%","20.1%","2.7","-1.0%","-12.7","30%","66%","44%",2006,NA,NA,NA,NA,NA,NA
"League Average",".342","96",".301",".163","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","27.5%","53.5%","18.9%","-1","-0%","1","31%","71%","40%",2006,NA,NA,NA,NA,NA,NA
"",".342","96",".301",".163","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","27.5%","53.5%","18.9%","-16.9","-2.8%","22.9","31%","71%","40%",2006,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2006,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2007,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".329","79",".282",".163","2.8%","18.2%","8.7%","18.1%","40.9%","29.1%","0.72","26.8%","57.2%","16.0%","-3.3","-0.4%","-66.4","30%","82%","41%",2007,NA,NA,NA,NA,NA,NA
