"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Philadelphia Phillies","","6136","-90","2","1","-70","55","-102","-14.1","188","86","4.4",".495",".497","13.8","-9.1","156","$93,774,333",2018
"Pittsburgh Pirates","","6066","-21","-8","-2","-4","58","23","-0.7","187","210","17.6",".501",".502","19.9","-1.8","214","$87,029,000",2018
"San Diego Padres","","6059","-90","-4","3","21","52","-18","-5.1","187","169","13.3",".499",".500","13.0","0.5","148","$80,443,000",2018
"Seattle Mariners","","6087","12","-3","-3","-3","-5","-2","1.9","216","214","22.3",".500",".501","21.6","0.7","217","$151,440,065",2018
"San Francisco Giants","","6113","-108","0","-2","-14","56","-69","-10.5","188","119","8.0",".497",".499","11.4","-3.2","133","$201,960,277",2018
"St. Louis Cardinals","","6200","-13","-5","6","2","55","44","1.5","190","234","20.2",".502",".502","21.9","-1.7","232","$155,113,667",2018
"Tampa Bay Rays","","6195","38","-6","3","36","-5","67","9.0","221","288","30.0",".504",".503","25.2","4.9","252","$41,069,867",2018
"Texas Rangers","","6163","-85","7","5","-18","-4","-95","-7.5","218","123","13.2",".494",".498","14.0","-0.7","141","$101,453,628",2018
"Toronto Blue Jays","","6076","17","-15","-3","-60","-6","-67","-4.7","217","149","16.0",".496",".498","21.0","-5.2","210","$130,385,772",2018
"Washington Nationals","","6288","-26","-2","2","2","60","36","0.4","189","225","19.0",".501",".502","20.8","-1.5","223","$187,886,699",2018
"","0","185139","-723","0","-1","75","774","126","-3.0","6111","6238","587.5",".500",".501","590.5","-0.5","6162","$3,790,220,683",2018
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2018
"Arizona Diamondbacks","","6315","-55","19","1","56","61","82","4.8","193","274","23.5",".503",".504","20.2","3.9","218","$119,116,666",2019
"Atlanta Braves","","6302","-16","5","3","6","59","56","2.3","189","246","20.8",".502",".504","22.5","-1.4","240","$131,711,667",2019
"Baltimore Orioles","","6189","-77","2","4","-36","-4","-112","-9.0","219","108","11.7",".494",".497","14.2","-2.4","143","$82,696,100",2019
"Boston Red Sox","","6475","54","6","-1","-11","-2","45","6.2","224","269","27.4",".502",".505","27.4","0.2","279","$207,205,000",2019
"Chicago Cubs","","6195","6","1","-2","44","62","112","7.9","189","301","26.4",".505",".505","24.2","2.6","257","$207,130,215",2019
"Chicago White Sox","","6042","-47","2","-2","-40","-5","-92","-7.2","214","122","13.1",".495",".500","16.0","-3.0","163","$79,991,333",2019
"Cincinnati Reds","","6100","-126","-19","-3","25","59","-64","-9.7","187","123","8.6",".497",".499","8.3","0.3","98","$109,737,499",2019
"Cleveland Indians","","6124","-52","7","-1","46","-5","-4","1.5","217","213","22.0",".500",".502","16.5","5.5","167","$121,390,783",2019
"Colorado Rockies","","6288","-102","6","1","35","59","-1","-3.4","191","190","15.2",".500",".502","13.9","1.9","155","$145,148,500",2019
"Detroit Tigers","","6039","-181","2","0","-107","-6","-292","-26.5","215","-76","-6.2",".483",".492","3.2","-9.5","30","$97,818,500",2019
"Houston Astros","","6394","151","-5","-7","93","-5","226","23.6","225","451","44.9",".513",".510","34.8","10.0","358","$161,942,500",2019
"Kansas City Royals","","6080","-122","-8","2","-10","-3","-142","-12.0","215","73","8.3",".491",".497","8.2","0.1","83","$86,327,892",2019
"Los Angeles Angels","","6251","-30","2","-5","-17","-2","-52","-3.5","222","170","17.5",".497",".501","18.2","-0.2","187","$158,078,584",2019
"Los Angeles Dodgers","","6282","78","5","1","50","60","196","16.2","192","388","35.0",".508",".507","32.2","2.7","338","$166,203,333",2019
"Miami Marlins","","6045","-171","-17","-2","-7","51","-146","-17.9","187","41","0.4",".494",".497","3.3","-2.8","48","$69,583,643",2019
"Milwaukee Brewers","","6309","-31","3","-5","14","53","34","-0.2","195","229","19.0",".501",".501","19.9","-0.5","215","$120,934,500",2019
"Minnesota Twins","","6392","143","-10","5","-34","-4","101","11.7","225","326","33.0",".506",".504","35.2","-2.2","360","$104,498,333",2019
"New York Mets","","6290","48","-13","0","-24","59","70","3.6","192","262","22.5",".503",".504","27.2","-4.7","286","$115,979,730",2019
"New York Yankees","","6245","140","-5","-1","-6","-3","126","14.1","220","346","35.0",".507",".507","34.5","0.5","352","$205,999,564",2019
"Oakland Athletics","","6269","80","3","-5","26","-3","101","11.6","221","322","32.6",".506",".506","28.9","3.6","296","$101,610,833",2019
"Philadelphia Phillies","","6261","-78","9","5","54","58","49","1.7","191","240","20.4",".502",".502","17.2","3.6","186","$141,686,962",2019
"Pittsburgh Pirates","","6228","-41","-4","2","-46","53","-37","-6.9","192","155","11.8",".498",".500","18.6","-6.5","201","$68,906,001",2019
"San Diego Padres","","6019","-76","-6","-2","-23","51","-55","-8.8","186","130","9.4",".498",".499","13.8","-4.3","153","$74,081,300",2019
"Seattle Mariners","","6199","2","-3","2","-37","-6","-43","-2.2","220","178","18.6",".498",".498","21.2","-2.8","214","$126,574,600",2019
"San Francisco Giants","","6170","-125","-8","0","6","51","-76","-10.9","191","115","7.9",".497",".499","9.5","-1.5","109","$175,450,753",2019
"St. Louis Cardinals","","6167","-29","11","1","67","56","107","7.6","190","297","26.2",".505",".504","21.6","4.8","230","$152,815,167",2019
"Tampa Bay Rays","","6285","20","-5","10","10","-3","31","5.0","223","254","26.0",".502",".503","24.1","2.2","244","$56,998,067",2019
"Texas Rangers","","6204","-92","11","4","-48","-2","-128","-10.5","220","93","10.3",".492",".495","14.0","-3.5","140","$102,677,499",2019
"Toronto Blue Jays","","6091","-51","3","-3","3","-5","-54","-3.5","216","162","17.0",".497",".498","15.8","1.2","159","$59,492,871",2019
"Washington Nationals","","6267","27","7","-3","38","64","134","10.0","188","321","28.3",".506",".506","26.7","2.2","283","$196,602,295",2019
"","0","186517","-753","0","0","127","798","172","-4.7","6150","6322","586.7",".500",".502","591.3","-0.1","6195","$3,748,390,690",2019
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2019
"Arizona Diamondbacks","","2238","-30","5","4","6","1","-14","-1.3","76","62","6.1",".498",".500","5.5","0.7","56","$69,681,667",2020
"Atlanta Braves","","2344","50","-2","1","-2","0","48","4.7","79","126","12.3",".507",".503","12.4","-0.1","128","$130,405,000",2020
"Baltimore Orioles","","2242","5","-5","0","-3","1","-2","-0.5","76","74","6.9",".500",".500","7.4","-0.6","77","$46,540,000",2020
"Boston Red Sox","","2304","8","1","-1","6","2","16","1.2","78","94","8.8",".503",".501","8.5","0.5","88","$105,163,000",2020
"Chicago Cubs","","2214","-20","1","0","12","-1","-7","-0.5","75","69","6.8",".499",".500","5.6","1.1","56","$178,320,000",2020
"Chicago White Sox","","2267","34","1","0","19","0","55","5.0","76","131","12.5",".509",".503","10.8","1.6","112","$118,966,333",2020
"Cincinnati Reds","","2123","-43","0","-3","-9","-2","-57","-5.4","72","16","1.6",".492",".498","2.4","-1.0","25","$119,916,165",2020
"Cleveland Indians","","2247","-34","-3","-1","20","0","-17","-2.1","75","58","5.3",".497",".500","3.5","1.7","38","$84,491,668",2020
"Colorado Rockies","","2257","-64","11","1","25","1","-26","-2.4","77","51","5.1",".496",".500","2.6","2.6","26","$109,230,000",2020
"Detroit Tigers","","2076","-26","-3","-2","-4","-1","-36","-3.9","71","35","3.0",".494",".499","3.6","-0.8","39","$88,185,000",2020
"Houston Astros","","2229","-13","-3","3","6","1","-7","-1.1","76","68","6.3",".499",".500","6.0","0.4","63","$212,900,000",2020
"Kansas City Royals","","2200","-26","1","2","-4","-1","-28","-3.1","75","47","4.2",".496",".499","4.8","-0.8","50","$68,500,000",2020
"Los Angeles Angels","","2308","18","1","-2","-23","1","-5","-0.9","77","72","6.6",".499",".500","9.1","-2.5","95","$168,488,095",2020
"Los Angeles Dodgers","","2316","58","2","-1","20","0","78","7.8","78","156","15.3",".512",".504","13.2","2.0","136","$183,758,333",2020
"Miami Marlins","","2167","-21","0","0","-1","-1","-24","-2.3","74","50","4.9",".496",".500","5.0","-0.2","51","$44,825,000",2020
"Milwaukee Brewers","","2188","-37","-8","-5","-13","0","-63","-6.0","75","12","1.2",".491",".497","2.4","-1.3","25","$94,741,667",2020
"Minnesota Twins","","2168","6","0","0","14","0","20","1.8","74","94","9.0",".503",".501","7.7","1.2","80","$134,638,333",2020
"New York Mets","","2279","59","-12","0","-19","1","30","3.0","78","107","10.5",".504",".502","12.4","-1.8","126","$130,278,667",2020
"New York Yankees","","2210","54","7","-3","-9","0","49","4.5","75","124","11.8",".507",".502","12.9","-1.2","133","$207,835,714",2020
"Oakland Athletics","","2201","1","5","0","-4","1","3","0.0","75","77","7.3",".500",".501","7.9","-0.6","82","$85,583,333",2020
"Philadelphia Phillies","","2223","29","3","0","-33","0","-2","0.0","76","74","7.2",".500",".500","10.5","-3.2","107","$151,398,461",2020
"Pittsburgh Pirates","","2134","-75","-6","0","8","0","-73","-7.1","73","0","-0.1",".488",".497","-1.0","0.9","-8","$31,728,500",2020
"San Diego Padres","","2231","50","-3","2","14","0","64","6.3","76","139","13.6",".509",".504","12.2","1.4","125","$122,162,000",2020
"Seattle Mariners","","2181","-23","2","0","5","0","-15","-1.9","74","59","5.4",".497",".500","5.1","0.3","54","$58,700,000",2020
"San Francisco Giants","","2259","42","-1","-1","-1","-1","37","3.7","77","114","11.1",".505",".503","11.2","-0.2","115","$116,280,000",2020
"St. Louis Cardinals","","2011","-17","1","2","23","-1","8","1.0","69","77","7.6",".501",".501","5.3","2.2","54","$127,021,167",2020
"Tampa Bay Rays","","2261","31","4","2","27","-1","64","6.0","77","141","13.5",".509",".503","11.1","2.3","114","$47,426,667",2020
"Texas Rangers","","2147","-61","4","0","17","0","-40","-4.3","73","33","2.9",".493",".499","1.4","1.5","16","$116,466,667",2020
"Toronto Blue Jays","","2263","27","0","-1","-29","1","-2","-0.5","77","75","7.0",".500",".501","10.1","-3.0","104","$70,378,572",2020
"Washington Nationals","","2218","16","-2","3","-34","0","-17","-1.7","75","58","5.5",".497",".500","8.8","-3.4","92","$164,862,283",2020
"","0","66506","0","0","0","34","0","34","-0.3","2259","2294","218.7",".500",".501","218.2","-0.5","2260","$3,388,872,292",2020
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2020
"Arizona Diamondbacks","","6144","-105","3","4","-41","56","-83","-10.4","200","117","9.4",".496",".498","14.3","-4.7","158","$77,591,667",2021
"Atlanta Braves","","6056","-28","-1","4","7","56","38","1.9","194","232","21.1",".502",".503","21.2","0.1","225","$124,030,000",2021
"Baltimore Orioles","","5983","-71","-3","-4","-30","-4","-113","-10.0","204","91","9.8",".493",".498","12.2","-2.3","121","$14,375,000",2021
"Boston Red Sox","","6122","39","1","3","-14","-2","28","4.2","207","235","24.4",".502",".503","25.1","-0.5","249","$143,595,000",2021
"Chicago Cubs","","5972","-47","1","-7","11","51","9","-0.9","195","204","18.3",".500",".501","17.9","0.5","193","$142,860,500",2021
"Chicago White Sox","","6084","61","0","-2","-34","-4","21","3.6","205","226","23.5",".501",".502","26.2","-2.8","260","$115,346,333",2021
"Cincinnati Reds","","6162","-45","-11","-6","-53","59","-57","-7.7","199","143","12.0",".498",".500","18.2","-6.1","195","$115,109,881",2021
"Cleveland Indians","","5907","-45","16","2","-17","-4","-48","-3.3","200","153","16.2",".497",".500","17.2","-1.0","170","$38,425,500",2021
"Colorado Rockies","","6007","-122","9","7","76","56","26","0.9","195","221","20.3",".501",".501","13.2","7.4","145","$79,475,000",2021
"Detroit Tigers","","5979","-30","0","-5","-76","-4","-116","-10.1","203","87","9.5",".493",".497","16.6","-7.0","163","$78,490,500",2021
"Houston Astros","","6291","99","-11","-5","53","-4","133","15.0","211","344","35.5",".508",".507","29.4","6.1","291","$157,300,000",2021
"Kansas City Royals","","5993","-86","7","3","28","-4","-52","-3.7","203","151","16.0",".497",".499","12.4","3.5","123","$85,820,000",2021
"Los Angeles Angels","","6016","-69","1","3","-75","-3","-142","-12.9","205","62","6.7",".492",".497","13.5","-6.7","137","$188,308,595",2021
"Los Angeles Dodgers","","6239","1","-3","1","-1","61","60","4.0","200","259","23.8",".502",".503","24.8","-0.9","260","$246,083,334",2021
"Miami Marlins","","5929","-149","1","5","22","54","-68","-8.8","193","125","10.3",".497",".499","8.8","1.8","103","$33,050,000",2021
"Milwaukee Brewers","","6099","-55","0","1","27","55","29","1.1","198","227","20.6",".501",".501","18.6","2.1","200","$85,417,626",2021
"Minnesota Twins","","6078","18","3","-2","3","-5","17","3.2","207","224","23.3",".501",".501","22.3","1.0","221","$120,058,333",2021
"New York Mets","","5856","-44","-11","-2","4","52","-1","-2.0","191","190","16.9",".500",".500","17.3","-0.2","185","$178,275,167",2021
"New York Yankees","","6060","-3","-5","-16","-50","-4","-77","-6.3","205","127","13.7",".495",".499","18.0","-4.2","177","$200,074,047",2021
"Oakland Athletics","","6104","28","8","3","-16","-7","17","3.2","205","222","23.1",".501",".502","24.1","-1.2","238","$83,455,834",2021
"Philadelphia Phillies","","6089","-35","9","3","-59","55","-26","-4.7","197","171","14.9",".499",".500","21.7","-6.6","230","$185,086,962",2021
"Pittsburgh Pirates","","5983","-138","-11","7","-9","50","-101","-12.2","195","94","7.0",".496",".499","8.6","-1.4","103","$35,605,000",2021
"San Diego Padres","","6119","10","8","0","19","50","88","7.0","200","288","26.8",".504",".503","25.7","1.4","269","$151,484,286",2021
"Seattle Mariners","","6010","-50","-14","3","-15","-5","-81","-6.6","203","123","13.2",".495",".499","14.0","-0.9","137","$63,155,500",2021
"San Francisco Giants","","6196","56","2","-2","-2","51","104","8.8","202","306","28.7",".504",".504","29.7","-1.4","308","$150,063,778",2021
"St. Louis Cardinals","","6001","-4","10","0","86","55","147","13.3","194","341","32.5",".506",".506","24.4","8.4","255","$155,129,667",2021
"Tampa Bay Rays","","6213","87","4","8","50","-7","143","16.0","211","354","36.5",".508",".507","30.7","5.6","303","$50,887,166",2021
"Texas Rangers","","5943","-128","5","3","70","-3","-54","-4.0","202","148","15.7",".497",".500","8.0","7.9","78","$53,557,666",2021
"Toronto Blue Jays","","6070","91","-2","1","15","-6","98","11.3","204","302","31.1",".506",".507","29.0","2.0","286","$112,919,071",2021
"Washington Nationals","","6113","63","-17","-8","2","57","97","7.9","196","293","27.4",".504",".503","28.0","-0.3","291","$171,970,147",2021
"","0","181818","-700","1","1","-19","750","34","-2.5","6021","6058","588.2",".500",".501","590.7","-0.2","6074","$3,437,001,560",2021
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2021
"Arizona Diamondbacks","","6027","-43","17","6","30","1","11","2.0","206","217","21.4",".501",".502","17.8","3.7","187","$78,760,000",2022
"Atlanta Braves","","6082","54","5","1","1","1","61","7.0","205","266","26.3",".504",".505","25.7","0.6","265","$174,475,000",2022
"Baltimore Orioles","","6049","1","10","-1","31","0","42","4.3","206","247","24.3",".503",".504","21.3","2.9","216","$23,750,000",2022
"Boston Red Sox","","6144","6","-9","-1","-35","1","-38","-4.5","208","170","15.7",".497",".500","19.9","-4.2","205","$181,295,000",2022
"Chicago Cubs","","6072","-41","0","-2","-9","2","-50","-4.5","207","157","15.0",".497",".500","15.5","-0.3","166","$131,085,000",2022
"Chicago White Sox","","6123","-19","0","-3","-44","-1","-67","-7.5","208","141","12.6",".496",".497","17.8","-5.3","185","$151,458,334",2022
"Cincinnati Reds","","5978","-115","-12","-4","-22","1","-151","-15.4","204","53","3.8",".490",".496","5.7","-1.7","75","$82,330,000",2022
"Cleveland Guardians","","6163","3","11","6","57","1","78","8.0","208","286","28.3",".505",".507","22.5","5.8","229","$52,660,000",2022
"Colorado Rockies","","6105","-70","0","-3","21","1","-50","-4.4","208","158","15.2",".497",".499","12.5","2.8","137","$104,743,000",2022
"Detroit Tigers","","5870","-125","-3","-1","2","1","-125","-13.9","200","74","5.4",".492",".495","5.7","-0.1","72","$116,140,000",2022
"Houston Astros","","6054","69","1","-4","35","2","104","10.7","206","310","30.8",".507",".507","27.4","3.6","275","$163,889,600",2022
"Kansas City Royals","","6010","-49","2","2","-30","0","-75","-8.2","205","130","11.7",".495",".497","15.3","-3.7","160","$77,210,000",2022
"Los Angeles Angels","","5977","-61","-2","2","-5","1","-66","-7.6","204","138","11.7",".496",".501","12.6","-0.9","143","$138,963,095",2022
"Los Angeles Dodgers","","6247","108","2","3","32","2","147","16.0","210","356","35.7",".509",".509","31.9","4.0","324","$237,178,666",2022
"Miami Marlins","","5949","-100","-1","-2","8","0","-96","-9.5","203","107","9.7",".494",".497","8.5","1.4","99","$68,100,000",2022
"Milwaukee Brewers","","6122","17","-2","-1","18","3","35","4.5","207","242","23.9",".502",".502","21.6","2.6","223","$125,179,460",2022
"Minnesota Twins","","6113","40","-11","-2","11","1","39","3.9","208","247","24.0",".502",".503","23.2","0.7","236","$99,467,857",2022
"New York Mets","","6176","92","-6","3","-24","-2","64","7.3","208","272","27.0",".504",".507","29.0","-2.4","296","$235,933,333",2022
"New York Yankees","","6172","90","-1","-6","63","1","147","15.3","209","356","35.6",".509",".508","29.3","6.4","293","$236,750,714",2022
"Oakland Athletics","","5863","-106","4","-4","-27","-3","-136","-15.1","200","64","4.3",".491",".497","7.6","-3.7","91","$39,683,334",2022
"Philadelphia Phillies","","6077","56","2","0","-47","1","11","1.9","206","218","21.3",".501",".501","25.9","-4.4","265","$209,288,461",2022
"Pittsburgh Pirates","","5912","-105","3","6","-23","-1","-120","-12.1","202","82","7.0",".492",".498","8.8","-2.0","105","$37,925,000",2022
"San Diego Padres","","6175","28","-3","7","18","1","52","6.0","209","261","25.7",".503",".505","23.4","2.4","243","$170,236,538",2022
"Seattle Mariners","","6117","49","-1","-7","4","-1","43","4.3","208","252","24.5",".503",".503","24.5","-0.2","247","$75,760,000",2022
"San Francisco Giants","","6117","3","-3","0","-80","-8","-88","-8.4","209","121","11.2",".495",".498","19.1","-8.8","201","$142,529,667",2022
"St. Louis Cardinals","","6165","89","7","-1","56","-3","149","16.3","210","359","36.1",".509",".509","29.7","6.1","303","$151,864,666",2022
"Tampa Bay Rays","","6008","-5","1","8","5","1","10","0.8","205","215","20.7",".501",".502","20.5","0.1","210","$68,059,211",2022
"Texas Rangers","","6029","-28","7","5","-5","-1","-22","-2.6","204","182","17.1",".498",".502","18.1","-1.1","187","$112,210,000",2022
"Toronto Blue Jays","","6158","121","-4","-5","0","2","114","12.1","208","322","32.2",".507",".506","32.7","-0.4","322","$162,172,524",2022
"Washington Nationals","","5998","-12","-13","-4","-43","0","-73","-6.9","204","132","12.3",".495",".498","16.3","-4.1","175","$113,801,666",2022
"","0","182052","-53","0","0","-2","1","-55","0.1","6186","6133","590.4",".500",".502","589.9","-0.1","6134","$3,762,900,126",2022
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2022
"Arizona Diamondbacks","","6124","-27","21","-1","43","1","36","3.4","208","245","23.0",".502",".504","18.9","4.1","202","$109,147,571",2023
"Atlanta Braves","","6249","188","13","-3","18","3","219","21.5","207","427","41.0",".514",".514","39.5","1.9","409","$190,497,500",2023
"Baltimore Orioles","","6123","45","14","-3","20","0","75","8.1","208","283","28.0",".504",".505","25.6","2.3","263","$81,158,114",2023
"Boston Red Sox","","6174","0","-3","1","-15","2","-15","-1.0","210","196","19.1",".499",".501","20.3","-1.1","210","$177,637,500",2023
"Chicago Cubs","","6220","47","1","9","28","1","86","8.4","209","295","28.1",".505",".506","25.5","2.7","267","$153,573,250",2023
"Chicago White Sox","","5980","-121","-1","-4","-50","1","-176","-17.6","204","29","2.0",".489",".494","6.8","-4.8","78","$133,725,951",2023
"Cincinnati Reds","","6195","-7","3","3","-42","-5","-47","-5.0","209","162","14.7",".497",".500","19.2","-5.0","204","$63,877,833",2023
"Cleveland Guardians","","6096","-75","8","7","7","0","-53","-5.0","205","152","14.6",".497",".500","13.5","1.1","145","$70,114,729",2023
"Colorado Rockies","","6055","-122","-9","-5","23","2","-111","-11.5","207","96","7.9",".493",".498","5.9","2.3","73","$155,645,682",2023
"Detroit Tigers","","6080","-81","-1","-2","-18","1","-102","-9.9","207","106","9.8",".494",".496","11.4","-1.5","124","$117,906,836",2023
"Houston Astros","","6253","91","-2","-3","21","3","109","11.4","210","320","31.5",".507",".506","29.1","2.7","298","$221,578,766",2023
"Kansas City Royals","","5985","-79","3","9","-24","-1","-93","-9.1","203","111","10.4",".494",".497","12.5","-2.3","134","$88,186,975",2023
"Los Angeles Angels","","6145","1","-7","-1","-28","4","-33","-3.0","208","176","16.6",".498",".501","19.1","-2.2","203","$211,537,055",2023
"Los Angeles Dodgers","","6333","112","-4","3","30","0","142","13.7","212","353","33.6",".508",".508","30.8","2.7","323","$209,766,667",2023
"Miami Marlins","","6043","-83","-5","-7","-26","1","-120","-12.4","206","87","7.0",".493",".496","9.9","-2.9","112","$111,051,500",2023
"Milwaukee Brewers","","6084","-57","1","-6","48","-2","-15","-1.8","206","191","17.6",".499",".501","13.0","4.4","143","$133,938,760",2023
"Minnesota Twins","","6219","37","6","-1","3","-3","43","4.7","212","254","25.0",".502",".502","24.4","0.3","251","$136,198,640",2023
"New York Mets","","6056","-8","1","4","-25","-2","-30","-3.2","205","175","16.0",".498",".502","18.7","-3.0","200","$185,477,344",2023
"New York Yankees","","5973","-80","-14","-5","-6","-1","-107","-10.6","203","97","8.8",".493",".498","9.0","-0.5","103","$254,017,008",2023
"Oakland Athletics","","5966","-91","-3","-9","-62","-4","-168","-16.8","204","35","2.7",".490",".495","8.7","-6.4","97","$50,230,000",2023
"Philadelphia Phillies","","6207","51","4","2","-20","1","39","3.7","208","247","23.3",".502",".503","25.5","-2.1","267","$220,337,606",2023
"Pittsburgh Pirates","","6089","-80","-13","9","-16","1","-100","-10.2","207","107","9.3",".494",".498","11.1","-1.8","123","$67,432,500",2023
"San Diego Padres","","6180","35","3","-6","41","-1","73","7.1","208","281","26.7",".504",".506","22.7","3.8","240","$225,000,139",2023
"Seattle Mariners","","6201","71","-3","3","-9","-1","61","6.5","209","269","26.5",".504",".504","27.1","-0.7","278","$124,555,663",2023
"San Francisco Giants","","6095","-51","-7","3","-37","-4","-96","-9.8","207","112","9.7",".495",".498","13.6","-4.3","149","$177,320,416",2023
"St. Louis Cardinals","","6204","8","-6","-1","-22","1","-20","-2.3","210","190","17.5",".499",".501","20.0","-2.5","212","$168,886,450",2023
"Tampa Bay Rays","","6164","110","4","3","26","0","143","15.0","208","352","34.9",".509",".507","32.0","3.0","326","$75,241,212",2023
"Texas Rangers","","6306","129","2","-1","38","1","170","17.6","210","380","37.7",".510",".509","33.4","4.3","342","$233,058,028",2023
"Toronto Blue Jays","","6220","46","-7","-2","51","1","90","9.7","210","300","29.7",".505",".504","24.1","5.6","248","$200,856,935",2023
"Washington Nationals","","6085","-18","1","5","-2","2","-12","-1.4","207","195","18.1",".499",".500","18.6","-0.3","197","$63,086,578",2023
"","0","184104","-5","0","0","-5","1","-10","0.2","6229","6221","590.4",".500",".502","589.9","-0.1","6223","$4,411,043,208",2023
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2023
"Arizona Diamondbacks","","6284","103","8","1","24","-3","134","13.8","214","347","34.0",".508",".507","31.5","2.1","323","$159,430,452",2024
"Atlanta Braves","","6075","4","-6","-2","10","-2","5","0.3","206","211","19.8",".500",".501","18.8","0.9","200","$233,097,300",2024
"Baltimore Orioles","","6176","124","3","9","-25","-1","110","11.7","209","319","31.8",".507",".507","34.5","-2.7","344","$105,082,000",2024
"Boston Red Sox","","6192","29","9","0","23","2","62","6.7","209","272","26.8",".504",".506","24.3","2.7","248","$139,351,275",2024
"Chicago Cubs","","6116","-1","7","4","32","2","44","4.4","207","251","24.0",".503",".504","20.7","3.5","219","$212,798,500",2024
"Chicago White Sox","","5869","-158","-10","-3","-78","2","-247","-26.0","200","-46","-6.7",".484",".492","1.5","-8.1","32","$123,163,625",2024
"Cincinnati Reds","","5970","-83","-4","3","-51","-3","-138","-14.8","203","65","4.5",".491",".497","9.9","-5.6","116","$96,100,834",2024
"Cleveland Guardians","","5927","-14","-8","0","36","-1","14","1.6","201","215","20.9",".501",".503","17.1","3.8","178","$90,730,728",2024
"Colorado Rockies","","6026","-93","-1","-8","20","0","-82","-8.7","205","123","10.7",".495",".499","8.6","2.1","103","$136,829,963",2024
"Detroit Tigers","","6021","-48","2","2","7","0","-36","-3.7","206","169","16.2",".498",".500","15.4","0.8","162","$104,101,233",2024
"Houston Astros","","6107","75","-5","-3","-4","-1","62","6.5","206","268","26.3",".504",".505","26.7","-0.6","271","$241,382,966",2024
"Kansas City Royals","","5982","-22","0","3","26","0","7","0.7","203","210","20.3",".500",".502","17.5","2.8","184","$107,977,261",2024
"Los Angeles Angels","","5975","-69","2","-6","-6","2","-76","-8.0","204","128","11.6",".495",".499","12.2","-0.4","134","$153,147,050",2024
"Los Angeles Dodgers","","6255","156","18","3","18","1","195","19.9","210","405","39.6",".512",".510","37.8","1.9","387","$255,346,278",2024
"Miami Marlins","","6048","-136","-4","1","-25","-1","-165","-17.4","205","41","2.0",".490",".495","4.6","-2.7","65","$87,819,600",2024
"Milwaukee Brewers","","6170","1","6","5","51","-2","62","6.2","209","271","26.0",".504",".504","20.8","5.1","220","$111,392,460",2024
"Minnesota Twins","","6123","20","-5","-5","-40","-1","-31","-3.1","209","179","17.0",".498",".499","21.2","-4.4","219","$134,518,041",2024
"New York Mets","","6166","70","-4","1","-19","0","48","4.7","208","256","24.4",".503",".503","26.4","-2.1","274","$258,608,750",2024
"New York Yankees","","6245","115","-6","-6","-4","2","101","10.3","209","311","30.4",".506",".507","30.9","-0.2","315","$286,208,084",2024
"Oakland Athletics","","6034","5","-2","-2","-66","0","-66","-6.8","206","140","13.1",".496",".500","20.0","-6.9","206","$53,445,000",2024
"Philadelphia Phillies","","6166","69","3","2","13","3","91","9.3","207","298","28.8",".506",".505","27.5","1.7","284","$243,325,783",2024
"Pittsburgh Pirates","","6086","-85","9","4","-21","1","-92","-9.8","206","114","9.6",".494",".498","11.9","-2.1","135","$95,211,500",2024
"San Diego Padres","","6103","46","3","-2","-28","-1","18","1.7","207","225","21.3",".501",".502","24.3","-3.0","253","$151,658,555",2024
"Seattle Mariners","","6067","38","3","-6","17","1","53","5.8","206","260","25.6",".503",".503","23.8","1.9","243","$117,306,948",2024
"San Francisco Giants","","6062","18","-9","-1","-11","0","-3","-0.5","207","203","19.0",".500",".503","20.2","-1.1","214","$171,389,583",2024
"St. Louis Cardinals","","6114","-37","-1","1","8","-2","-30","-3.3","208","178","16.4",".498",".500","15.6","0.6","170","$176,052,200",2024
"Tampa Bay Rays","","6006","-57","1","5","3","1","-47","-4.7","205","158","15.0",".497",".499","14.6","0.4","155","$96,738,567",2024
"Texas Rangers","","6053","-26","1","5","27","1","8","1.0","205","213","20.7",".500",".502","17.8","3.0","185","$261,471,834",2024
"Toronto Blue Jays","","6060","5","-6","-4","77","0","72","7.9","206","278","27.7",".504",".504","19.4","8.2","201","$224,888,287",2024
"Washington Nationals","","5971","-32","-6","-3","-9","0","-51","-5.5","203","152","13.7",".497",".499","14.6","-1.0","161","$94,857,467",2024
