"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Baltimore Orioles","","6134","15","-4","-7","27","-8","23","2.2","226","249","23.9",".501",".503","21.4","2.3","222","$73,275,833",2005
"Boston Red Sox","","6403","107","1","2","-22","-6","82","8.2","233","315","30.6",".505",".505","33.0","-2.5","337","$123,505,125",2005
"Chicago Cubs","","6161","-41","-6","1","3","60","17","0.3","180","197","17.7",".501",".501","17.7","0.4","194","$87,032,933",2005
"Chicago White Sox","","6146","-50","-5","-1","42","-5","-19","-1.9","228","209","20.0",".499",".501","16.1","4.0","167","$74,860,000",2005
"Cincinnati Reds","","6321","31","3","1","-45","57","47","3.5","185","233","21.6",".502",".503","26.5","-4.7","278","$61,552,583",2005
"Cleveland Indians","","6255","94","0","0","51","-4","141","14.1","231","372","36.2",".509",".509","31.3","5.1","321","$41,186,000",2005
"Colorado Rockies","","6238","-99","5","-1","-16","59","-52","-6.6","182","130","11.2",".498",".500","13.0","-1.7","146","$47,839,000",2005
"Detroit Tigers","","6136","-4","4","-4","27","-5","17","1.8","228","245","23.7",".501",".502","21.1","2.6","218","$65,752,500",2005
"Florida Marlins","","6214","0","1","-4","-70","59","-14","-2.8","181","168","14.9",".499",".499","22.4","-7.4","237","$60,058,834",2005
"Houston Astros","","6139","-80","-9","4","48","53","16","0.4","180","197","18.0",".501",".502","13.2","4.5","148","$76,779,000",2005
"Kansas City Royals","","6086","-75","7","-2","-116","-7","-192","-19.2","227","36","2.6",".489",".494","14.4","-12.0","152","$33,921,000",2005
"Los Angeles Angels of Anaheim","","6186","-30","6","1","43","-5","16","1.6","228","244","23.5",".501",".501","19.4","4.2","201","$84,400,322",2005
"Los Angeles Dodgers","","6134","-71","-13","-4","4","51","-33","-4.7","180","147","12.8",".498",".499","12.6","-0.1","143","$69,639,000",2005
"Milwaukee Brewers","","6156","-31","-8","-9","-9","58","2","-1.1","179","181","16.4",".500",".501","17.6","-1.0","190","$39,934,833",2005
"Minnesota Twins","","6192","-104","-9","-4","32","-3","-88","-8.9","230","142","13.2",".495",".498","10.2","3.2","110","$55,540,000",2005
"New York Mets","","6146","-37","18","2","-25","58","17","0.4","178","195","17.8",".501",".502","20.6","-2.7","220","$100,669,321",2005
"New York Yankees","","6406","146","3","7","-109","-7","40","3.7","234","273","26.2",".502",".505","37.3","-11.2","382","$208,306,817",2005
"Oakland Athletics","","6275","-19","8","2","39","-6","23","2.3","230","253","24.4",".501",".502","20.7","3.7","214","$54,025,762",2005
"Philadelphia Phillies","","6345","-26","1","8","88","58","129","12.0","184","313","29.9",".506",".505","21.1","9.0","224","$95,522,000",2005
"Pittsburgh Pirates","","6221","-63","-15","3","13","56","-7","-1.9","182","176","15.9",".500",".501","14.8","1.4","163","$37,496,000",2005
"San Diego Padres","","6271","-8","-7","-2","-39","53","-4","-1.6","184","181","16.3",".500",".501","20.7","-4.4","220","$62,623,833",2005
"Seattle Mariners","","6095","-61","1","5","-4","-4","-63","-6.4","225","163","15.3",".496",".500","16.0","-0.4","167","$86,213,334",2005
"San Francisco Giants","","6077","-111","-9","-2","-27","54","-96","-11.2","179","82","6.3",".496",".498","9.3","-3.1","110","$90,199,500",2005
"St. Louis Cardinals","","6246","-6","11","5","61","58","129","11.9","181","310","29.5",".506",".506","23.4","6.0","250","$91,346,833",2005
"Tampa Bay Devil Rays","","6120","-2","15","0","-5","-6","2","0.3","227","229","22.1",".500",".501","22.8","-0.7","234","$28,666,567",2005
"Texas Rangers","","6301","35","14","1","-45","-5","0","-0.1","230","229","22.0",".500",".502","26.7","-4.6","274","$54,877,500",2005
"Toronto Blue Jays","","6233","-46","0","4","62","-8","13","1.4","232","245","23.7",".501",".501","17.7","5.9","183","$45,719,500",2005
"Washington Nationals","","6142","-90","-20","-2","-3","60","-56","-7.1","179","123","10.4",".497",".499","11.1","-0.4","126","$47,937,000",2005
"","0","186292","-695","1","0","50","832","186","-2.1","6111","6299","588.7",".500",".502","590.8","0.0","6246","$2,147,349,398",2005
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2005
"Arizona Diamondbacks","","6330","-95","-4","1","-1","63","-36","-4.7","186","151","13.2",".498",".499","13.5","0.1","152","$59,984,226",2006
"Atlanta Braves","","6284","9","-2","-4","-11","64","56","4.1","184","240","21.7",".502",".503","23.0","-0.9","251","$74,967,333",2006
